f_destination_country_code,f_passport_country_code,f_country_visa_required,f_visa_policy_code,f_online_apply_url,f_visa_duration_days
GR,ID,yes,visa_required,,90
NZ,ID,yes,visa_required,,180
RU,ID,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,ID,no,visa_not_required,,14
DK,ID,yes,visa_required,,90
MO,ID,no,visa_not_required,,30
LA,ID,no,visa_not_required,,30
FR,ID,yes,visa_required,,90
NL,ID,yes,visa_required,,90
SG,VN,no,visa_not_required,,30
HK,VN,yes,evisa_required,https://www.gov.hk/en/nonresidents/visarequire/visasentrypermits/applyvisit_transit.htm,30
GB,VN,yes,visa_required,,180
CA,VN,yes,visa_required,,180
ID,VN,no,visa_not_required,,30
VN,VN,no,visa_not_required,,
IN,VN,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,VN,yes,visa_required,,30
AU,VN,yes,visa_required,,90
AT,VN,yes,visa_required,,90
MY,VN,no,visa_not_required,,30
CN,VN,yes,visa_required,,30
JP,VN,yes,visa_required,,90
SA,VN,yes,visa_required,,90
TH,VN,no,visa_not_required,,60
BN,VN,no,visa_not_required,,14
ZA,VN,yes,visa_required,,30
BD,VN,yes,visa_on_arrival,,30
KH,VN,no,visa_not_required,,30
US,VN,yes,visa_required,,180
MV,VN,yes,visa_on_arrival,,30
PH,VN,no,visa_not_required,,21
KR,VN,yes,visa_required,,90
CH,VN,yes,visa_required,,90
DE,VN,yes,visa_required,,90
IT,VN,yes,visa_required,,90
AE,VN,yes,evisa_required,https://icp.gov.ae/en/,30
NP,VN,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,VN,yes,visa_required,,30
ES,VN,yes,visa_required,,90
LK,VN,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,VN,yes,visa_required,,90
GR,VN,yes,visa_required,,90
NZ,VN,yes,visa_required,,180
RU,VN,yes,visa_required,,30
MM,VN,no,visa_not_required,,14
DK,VN,yes,visa_required,,90
MO,VN,yes,visa_required,,30
LA,VN,no,visa_not_required,,30
FR,VN,yes,visa_required,,90
NL,VN,yes,visa_required,,90
SG,IN,yes,evisa_required,https://www.ica.gov.sg/enter-transit-depart/entering-singapore/visa_requirements,30
HK,IN,no,visa_not_required,,14
GB,IN,yes,visa_required,,180
CA,IN,yes,visa_required,,180
ID,IN,yes,evisa_or_visa_on_arrival,https://evisa.imigrasi.go.id/,30
VN,IN,yes,evisa_required,https://evisa.gov.vn/,90
IN,IN,no,visa_not_required,,
TW,IN,yes,visa_required,,30
AU,IN,yes,visa_required,,90
AT,IN,yes,visa_required,,90
MY,IN,no,visa_not_required,,30
CN,IN,yes,visa_required,,30
JP,IN,yes,evisa_required,https://www.mofa.go.jp/j_info/visit/visa/visaonline.html,90
SA,IN,yes,evisa_required,https://visa.visitsaudi.com/,90
TH,IN,no,visa_not_required,,60
BN,IN,yes,visa_required,,14
ZA,IN,no,visa_not_required,,90
BD,IN,yes,visa_required,,30
KH,IN,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,IN,yes,visa_required,,180
MV,IN,yes,visa_on_arrival,,30
PH,IN,no,visa_not_required,,14
KR,IN,yes,visa_required,,90
CH,IN,yes,visa_required,,90
DE,IN,yes,visa_required,,90
IT,IN,yes,visa_required,,90
AE,IN,yes,evisa_required,https://icp.gov.ae/en/,30
NP,IN,no,visa_not_required,,90
TR,IN,yes,visa_required,,30
ES,IN,yes,visa_required,,90
LK,IN,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,IN,yes,visa_required,,90
GR,IN,yes,visa_required,,90
NZ,IN,yes,visa_required,,180
RU,IN,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,IN,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,IN,yes,visa_required,,90
MO,IN,no,visa_not_required,,30
LA,IN,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,IN,yes,visa_required,,90
NL,IN,yes,visa_required,,90
SG,TW,no,visa_not_required,,30
HK,TW,yes,evisa_required,https://www.gov.hk/en/nonresidents/visarequire/visasentrypermits/applyvisit_transit.htm,30
GB,TW,no,visa_not_required,,180
CA,TW,no,visa_not_required,,180
ID,TW,yes,evisa_or_visa_on_arrival,https://evisa.imigrasi.go.id/,30
VN,TW,yes,evisa_required,https://evisa.gov.vn/,90
IN,TW,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,TW,no,visa_not_required,,
AU,TW,no,visa_not_required,,90
AT,TW,no,visa_not_required,,90
MY,TW,no,visa_not_required,,30
CN,TW,yes,visa_required,,30
JP,TW,no,visa_not_required,,90
SA,TW,yes,evisa_required,https://visa.visitsaudi.com/,90
TH,TW,no,visa_not_required,,60
BN,TW,no,visa_not_required,,14
ZA,TW,yes,visa_required,,90
BD,TW,yes,visa_on_arrival,,30
KH,TW,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,TW,no,visa_not_required,,90
MV,TW,yes,visa_on_arrival,,30
PH,TW,no,visa_not_required,,14
KR,TW,no,visa_not_required,,90
CH,TW,no,visa_not_required,,90
DE,TW,no,visa_not_required,,90
IT,TW,no,visa_not_required,,90
AE,TW,yes,evisa_required,https://icp.gov.ae/en/,30
NP,TW,yes,visa_on_arrival,,90
TR,TW,yes,visa_required,,30
ES,TW,no,visa_not_required,,90
LK,TW,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,TW,no,visa_not_required,,90
GR,TW,no,visa_not_required,,90
NZ,TW,no,visa_not_required,,90
RU,TW,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,TW,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,TW,no,visa_not_required,,90
MO,TW,no,visa_not_required,,30
LA,TW,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,TW,no,visa_not_required,,90
NL,TW,no,visa_not_required,,90
SG,AU,no,visa_not_required,,90
HK,AU,no,visa_not_required,,90
GB,AU,no,visa_not_required,,180
CA,AU,no,visa_not_required,,180
ID,AU,yes,evisa_or_visa_on_arrival,https://evisa.imigrasi.go.id/,30
VN,AU,yes,evisa_required,https://evisa.gov.vn/,90
IN,AU,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,AU,no,visa_not_required,,90
AU,AU,no,visa_not_required,,
AT,AU,no,visa_not_required,,90
MY,AU,no,visa_not_required,,90
CN,AU,no,visa_not_required,,30
JP,AU,no,visa_not_required,,90
SA,AU,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,AU,no,visa_not_required,,60
BN,AU,yes,visa_required,,14
ZA,AU,no,visa_not_required,,90
BD,AU,yes,visa_on_arrival,,30
KH,AU,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,AU,no,visa_not_required,,90
MV,AU,yes,visa_on_arrival,,30
PH,AU,no,visa_not_required,,30
KR,AU,no,visa_not_required,,90
CH,AU,no,visa_not_required,,90
DE,AU,no,visa_not_required,,90
IT,AU,no,visa_not_required,,90
AE,AU,no,visa_not_required,,90
NP,AU,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,AU,yes,evisa_required,https://www.evisa.gov.tr/en/,30
ES,AU,no,visa_not_required,,90
LK,AU,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,AU,no,visa_not_required,,90
GR,AU,no,visa_not_required,,90
NZ,AU,no,visa_not_required,,90
RU,AU,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,AU,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,AU,no,visa_not_required,,90
MO,AU,no,visa_not_required,,30
LA,AU,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,AU,no,visa_not_required,,90
NL,AU,no,visa_not_required,,90
SG,AT,no,visa_not_required,,90
HK,AT,no,visa_not_required,,90
GB,AT,no,visa_not_required,,180
CA,AT,no,visa_not_required,,180
ID,AT,yes,evisa_or_visa_on_arrival,https://evisa.imigrasi.go.id/,30
VN,AT,yes,evisa_required,https://evisa.gov.vn/,90
IN,AT,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,AT,no,visa_not_required,,90
AU,AT,no,visa_not_required,,90
AT,AT,no,visa_not_required,,
MY,AT,no,visa_not_required,,90
CN,AT,no,visa_not_required,,30
JP,AT,no,visa_not_required,,90
SA,AT,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,AT,no,visa_not_required,,60
BN,AT,no,visa_not_required,,14
ZA,AT,no,visa_not_required,,90
BD,AT,yes,visa_on_arrival,,30
KH,AT,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,AT,no,visa_not_required,,90
MV,AT,yes,visa_on_arrival,,30
PH,AT,no,visa_not_required,,30
KR,AT,no,visa_not_required,,90
CH,AT,no,visa_not_required,,90
DE,AT,no,visa_not_required,,90
IT,AT,no,visa_not_required,,90
AE,AT,no,visa_not_required,,90
NP,AT,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,AT,no,visa_not_required,,90
ES,AT,no,visa_not_required,,90
LK,AT,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,AT,no,visa_not_required,,90
GR,AT,no,visa_not_required,,90
NZ,AT,no,visa_not_required,,90
RU,AT,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,AT,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,AT,no,visa_not_required,,90
MO,AT,no,visa_not_required,,30
LA,AT,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,AT,no,visa_not_required,,90
NL,AT,no,visa_not_required,,90
SG,MY,no,visa_not_required,,30
HK,MY,no,visa_not_required,,90
GB,MY,no,visa_not_required,,180
CA,MY,no,visa_not_required,,180
ID,MY,no,visa_not_required,,30
VN,MY,no,visa_not_required,,30
IN,MY,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,MY,no,visa_not_required,,30
AU,MY,no,visa_not_required,,90
AT,MY,no,visa_not_required,,90
MY,MY,no,visa_not_required,,
CN,MY,no,visa_not_required,,30
JP,MY,no,visa_not_required,,90
SA,MY,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,MY,no,visa_not_required,,60
BN,MY,no,visa_not_required,,14
ZA,MY,no,visa_not_required,,90
BD,MY,yes,visa_on_arrival,,30
KH,MY,no,visa_not_required,,30
US,MY,yes,visa_required,,180
MV,MY,yes,visa_on_arrival,,30
PH,MY,no,visa_not_required,,30
KR,MY,no,visa_not_required,,90
CH,MY,no,visa_not_required,,90
DE,MY,no,visa_not_required,,90
IT,MY,no,visa_not_required,,90
AE,MY,no,visa_not_required,,30
NP,MY,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,MY,no,visa_not_required,,90
ES,MY,no,visa_not_required,,90
LK,MY,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,MY,no,visa_not_required,,90
GR,MY,no,visa_not_required,,90
NZ,MY,no,visa_not_required,,90
RU,MY,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,MY,no,visa_not_required,,14
DK,MY,no,visa_not_required,,90
MO,MY,no,visa_not_required,,30
LA,MY,no,visa_not_required,,30
FR,MY,no,visa_not_required,,90
NL,MY,no,visa_not_required,,90
SG,CN,no,visa_not_required,,30
HK,CN,no,visa_not_required,,7
GB,CN,yes,visa_required,,180
CA,CN,yes,visa_required,,180
ID,CN,yes,evisa_or_visa_on_arrival,https://evisa.imigrasi.go.id/,30
VN,CN,no,visa_not_required,,30
IN,CN,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,CN,yes,visa_required,,30
AU,CN,yes,visa_required,,90
AT,CN,yes,visa_required,,90
MY,CN,no,visa_not_required,,30
CN,CN,no,visa_not_required,,
JP,CN,no,visa_not_required,,30
SA,CN,yes,evisa_required,https://visa.visitsaudi.com/,90
TH,CN,no,visa_not_required,,30
BN,CN,yes,visa_required,,14
ZA,CN,yes,evisa_required,,30
BD,CN,yes,visa_on_arrival,,30
KH,CN,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,CN,yes,visa_required,,180
MV,CN,yes,visa_on_arrival,,30
PH,CN,yes,visa_required,,30
KR,CN,yes,visa_required,,90
CH,CN,yes,visa_required,,90
DE,CN,yes,visa_required,,90
IT,CN,yes,visa_required,,90
AE,CN,yes,visa_required,,30
NP,CN,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,CN,yes,evisa_required,https://www.evisa.gov.tr/en/,30
ES,CN,yes,visa_required,,90
LK,CN,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,CN,yes,visa_required,,90
GR,CN,yes,visa_required,,90
NZ,CN,yes,visa_required,,180
RU,CN,no,visa_not_required,,30
MM,CN,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,CN,yes,visa_required,,90
MO,CN,no,visa_not_required,,30
LA,CN,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,CN,yes,visa_required,,90
NL,CN,yes,visa_required,,90
SG,JP,no,visa_not_required,,90
HK,JP,no,visa_not_required,,90
GB,JP,no,visa_not_required,,180
CA,JP,no,visa_not_required,,180
ID,JP,yes,evisa_or_visa_on_arrival,https://evisa.imigrasi.go.id/,30
VN,JP,yes,evisa_required,https://evisa.gov.vn/,90
IN,JP,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,JP,no,visa_not_required,,90
AU,JP,no,visa_not_required,,90
AT,JP,no,visa_not_required,,90
MY,JP,no,visa_not_required,,90
CN,JP,no,visa_not_required,,30
JP,JP,no,visa_not_required,,
SA,JP,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,JP,no,visa_not_required,,60
BN,JP,yes,visa_required,,14
ZA,JP,no,visa_not_required,,90
BD,JP,yes,visa_on_arrival,,30
KH,JP,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,JP,no,visa_not_required,,90
MV,JP,yes,visa_on_arrival,,30
PH,JP,no,visa_not_required,,30
KR,JP,no,visa_not_required,,90
CH,JP,no,visa_not_required,,90
DE,JP,no,visa_not_required,,90
IT,JP,no,visa_not_required,,90
AE,JP,no,visa_not_required,,30
NP,JP,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,JP,no,visa_not_required,,90
ES,JP,no,visa_not_required,,90
LK,JP,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,JP,no,visa_not_required,,90
GR,JP,no,visa_not_required,,90
NZ,JP,no,visa_not_required,,90
RU,JP,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,JP,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,JP,no,visa_not_required,,90
MO,JP,no,visa_not_required,,30
LA,JP,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,JP,no,visa_not_required,,90
NL,JP,no,visa_not_required,,90
SG,SA,no,visa_not_required,,30
HK,SA,yes,visa_required,,14
GB,SA,no,visa_not_required,,180
CA,SA,yes,visa_required,,180
ID,SA,no,visa_not_required,,30
VN,SA,yes,evisa_required,https://evisa.gov.vn/,90
IN,SA,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,SA,yes,evisa_required,https://visawebapp.boca.gov.tw/BOCA_EVISA/MRV04FORM.do,90
AU,SA,yes,evisa_required,https://immi.homeaffairs.gov.au/help-support/applying-online-or-on-paper/online,90
AT,SA,no,visa_not_required,,90
MY,SA,no,visa_not_required,,90
CN,SA,no,visa_not_required,,30
JP,SA,yes,visa_required,,90
SA,SA,no,visa_not_required,,
TH,SA,yes,visa_required,,30
BN,SA,no,visa_not_required,,14
ZA,SA,no,visa_not_required,,90
BD,SA,yes,visa_on_arrival,,30
KH,SA,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,SA,yes,visa_required,,180
MV,SA,yes,visa_on_arrival,,30
PH,SA,yes,visa_required,,30
KR,SA,yes,eta_required,,90
CH,SA,yes,visa_required,,90
DE,SA,yes,visa_required,,90
IT,SA,yes,visa_required,,90
AE,SA,no,visa_not_required,,30
NP,SA,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,SA,no,visa_not_required,,90
ES,SA,yes,visa_required,,90
LK,SA,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,SA,yes,visa_required,,90
GR,SA,yes,visa_required,,90
NZ,SA,no,visa_not_required,,90
RU,SA,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,SA,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,SA,yes,visa_required,,90
MO,SA,yes,visa_required,,30
LA,SA,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,SA,yes,visa_required,,90
NL,SA,yes,visa_required,,90
SG,TH,no,visa_not_required,,30
HK,TH,no,visa_not_required,,30
GB,TH,yes,visa_required,,180
CA,TH,yes,visa_required,,180
ID,TH,no,visa_not_required,,30
VN,TH,no,visa_not_required,,30
IN,TH,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,TH,no,visa_not_required,,30
AU,TH,yes,evisa_required,https://immi.homeaffairs.gov.au/help-support/applying-online-or-on-paper/online,90
AT,TH,yes,visa_required,,90
MY,TH,no,visa_not_required,,30
CN,TH,no,visa_not_required,,30
JP,TH,no,visa_not_required,,30
SA,TH,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,TH,no,visa_not_required,,
BN,TH,no,visa_not_required,,14
ZA,TH,yes,visa_required,,90
BD,TH,yes,visa_on_arrival,,30
KH,TH,no,visa_not_required,,14
US,TH,yes,visa_required,,180
MV,TH,yes,visa_on_arrival,,30
PH,TH,no,visa_not_required,,30
KR,TH,no,visa_not_required,,90
CH,TH,yes,visa_required,,90
DE,TH,yes,visa_required,,90
IT,TH,yes,visa_required,,90
AE,TH,yes,visa_required,,30
NP,TH,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,TH,no,visa_not_required,,30
ES,TH,yes,visa_required,,90
LK,TH,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,TH,yes,visa_required,,90
GR,TH,yes,visa_required,,90
NZ,TH,yes,visa_required,,180
RU,TH,no,visa_not_required,,30
MM,TH,no,visa_not_required,,14
DK,TH,yes,visa_required,,90
