f_city_code,f_month_num,f_month_name,f_avg_temp_c,f_avg_rainfall_mm,f_weather_profile_code,f_season_code,f_best_time_to_visit_flag,f_weather_summary
TPE,6,June,28.3,325.9,humid_subtropical,pleasant_peak,yes,hot with plum-rain season
TPE,7,July,30.3,245.1,humid_subtropical,typhoon_summer,no,hottest month
TPE,8,August,30.0,322.1,humid_subtropical,typhoon_summer,no,very hot and storm-prone
TPE,9,September,28.0,360.5,humid_subtropical,typhoon_summer,no,wettest month
TPE,10,October,24.9,148.9,humid_subtropical,autumn_shoulder,no,warm with easing rain
TPE,11,November,21.8,83.1,humid_subtropical,autumn_shoulder,no,mild and more settled
TPE,12,December,18.2,73.3,humid_subtropical,cool_wet,no,cool and relatively dry
SYD,1,January,22.8,79,humid_subtropical,summer,yes,warm summer weather
SYD,2,February,22.6,105,humid_subtropical,summer,yes,warm and lively high season
SYD,3,March,21.3,86,humid_subtropical,autumn_shoulder,yes,warm and pleasant
SYD,4,April,18.8,89,humid_subtropical,autumn_shoulder,yes,mild and comfortable
SYD,5,May,15.8,85,humid_subtropical,autumn_shoulder,yes,cooler but pleasant
SYD,6,June,13.6,101,humid_subtropical,winter,no,mild winter and wetter
SYD,7,July,12.7,57,humid_subtropical,winter,no,coolest month
SYD,8,August,13.5,59,humid_subtropical,winter,no,cool and relatively dry
SYD,9,September,16.0,54,humid_subtropical,spring,yes,mild and dry
SYD,10,October,18.0,59,humid_subtropical,spring,yes,pleasant spring weather
SYD,11,November,19.7,77,humid_subtropical,spring,yes,warm and comfortable
SYD,12,December,21.4,61,humid_subtropical,summer,yes,warm early summer
SZG,1,January,-2.2,120,temperate_oceanic,winter,no,cold and snowy-wet
SZG,2,February,-0.8,108,temperate_oceanic,winter,no,cold with persistent precipitation
SZG,3,March,3.4,145,temperate_oceanic,spring,no,chilly early spring
SZG,4,April,8.5,129,temperate_oceanic,spring,no,cool spring weather
SZG,5,May,13.1,200,temperate_oceanic,spring,no,mild and greener
SZG,6,June,16.7,218,temperate_oceanic,summer_peak,yes,warm and scenic
SZG,7,July,18.2,222,temperate_oceanic,summer_peak,yes,warmest month
SZG,8,August,17.9,195,temperate_oceanic,summer_peak,yes,warm alpine summer
SZG,9,September,13.6,170,temperate_oceanic,summer_peak,yes,cooler but pleasant
SZG,10,October,9.2,121,temperate_oceanic,autumn,no,cool autumn weather
SZG,11,November,3.6,116,temperate_oceanic,winter,no,cold and grey
SZG,12,December,-0.8,126,temperate_oceanic,winter,no,cold winter period
PEN,1,January,27.0,78,tropical_rainforest,shoulder,no,warm with moderate rain
PEN,2,February,27.8,65,tropical_rainforest,pleasant_peak,yes,warmest and driest period
PEN,3,March,28.1,106,tropical_rainforest,pleasant_peak,yes,hot with manageable rain
PEN,4,April,28.6,160,tropical_rainforest,pleasant_peak,yes,hot and humid
PEN,5,May,28.8,152,tropical_rainforest,humid_season,no,hot with frequent showers
PEN,6,June,28.6,85,tropical_rainforest,humid_season,no,hot and relatively drier
PEN,7,July,28.2,102,tropical_rainforest,humid_season,no,warm tropical weather
PEN,8,August,28.3,122,tropical_rainforest,humid_season,no,warm and humid
PEN,9,September,27.7,126,tropical_rainforest,wettest_season,no,humid with more rain
PEN,10,October,27.9,178,tropical_rainforest,wettest_season,no,very humid and wet
PEN,11,November,27.5,193,tropical_rainforest,wettest_season,no,rainiest month
PEN,12,December,27.3,123,tropical_rainforest,wettest_season,no,warm with lingering rain
NGO,1,January,3.0,57,humid_subtropical,winter,no,cold and relatively dry
NGO,2,February,4.1,68,humid_subtropical,winter,no,cool late winter weather
NGO,3,March,7.6,109,humid_subtropical,spring,no,milder early spring
NGO,4,April,12.9,124,humid_subtropical,spring,no,pleasant spring weather
NGO,5,May,17.8,147,humid_subtropical,spring,no,warm and greener
NGO,6,June,21.8,182,humid_subtropical,rainy_season,no,warm and wetter
NGO,7,July,25.5,177,humid_subtropical,rainy_season,no,hot and humid
NGO,8,August,26.6,121,humid_subtropical,summer_peak,yes,hottest month
NGO,9,September,23.1,197,humid_subtropical,typhoon_risk,no,warm with peak rain
NGO,10,October,17.1,168,humid_subtropical,autumn,no,cooler and pleasant
NGO,11,November,11.0,88,humid_subtropical,autumn,no,cool and drier
NGO,12,December,5.5,57,humid_subtropical,winter,no,cold early winter
RUH,1,January,14.5,11,desert_hot,winter_peak,yes,mild and dry
RUH,2,February,17.5,15,desert_hot,winter_peak,yes,pleasant and dry
RUH,3,March,22.0,23,desert_hot,shoulder,yes,warming up with low rain
RUH,4,April,27.9,25,desert_hot,shoulder,no,hot and dry
RUH,5,May,33.0,12,desert_hot,hot_season,no,very hot and arid
RUH,6,June,35.8,0,desert_hot,hot_season,no,extreme dry heat
RUH,7,July,36.5,0,desert_hot,hot_season,no,hottest month with no rain
RUH,8,August,36.3,0,desert_hot,hot_season,no,intense heat and dry air
RUH,9,September,33.0,0,desert_hot,hot_season,no,still very hot and dry
RUH,10,October,28.3,1,desert_hot,shoulder,no,hot days with easing heat
RUH,11,November,21.6,8,desert_hot,winter_peak,yes,warm and comfortable
RUH,12,December,16.3,11,desert_hot,winter_peak,yes,mild winter weather
BKK,1,January,28.6,9,tropical_savanna,dry_season,yes,hot and dry
BKK,2,February,30.1,20,tropical_savanna,dry_season,yes,very warm and mostly dry
BKK,3,March,31.7,42,tropical_savanna,hot_season,no,hottest stretch before rains
BKK,4,April,32.2,91,tropical_savanna,hot_season,no,oppressively hot with storms
BKK,5,May,31.2,248,tropical_savanna,wet_season,no,humid with monsoon onset
BKK,6,June,30.5,157,tropical_savanna,wet_season,no,hot and rainy
BKK,7,July,29.9,175,tropical_savanna,wet_season,no,warm with frequent rain
BKK,8,August,29.8,219,tropical_savanna,wet_season,no,humid and wet
BKK,9,September,29.5,334,tropical_savanna,wet_season,no,wettest month
BKK,10,October,29.0,292,tropical_savanna,wet_season,no,warm and very rainy
BKK,11,November,28.0,50,tropical_savanna,dry_season,yes,warm with improving weather
BKK,12,December,26.5,6,tropical_savanna,dry_season,yes,warm and driest period
BNE,1,January,25.8,124,humid_subtropical,summer_peak,yes,warm summer weather
BNE,2,February,25.4,153,humid_subtropical,summer_peak,yes,warm and humid
BNE,3,March,24.0,131,humid_subtropical,autumn_shoulder,yes,warm with easing humidity
BNE,4,April,21.6,89,humid_subtropical,autumn_shoulder,yes,pleasant and drier
BNE,5,May,18.0,70,humid_subtropical,autumn_shoulder,yes,mild and comfortable
BNE,6,June,15.5,57,humid_subtropical,winter,no,mild and relatively dry
BNE,7,July,15.0,47,humid_subtropical,winter,no,coolest and driest month
BNE,8,August,17.2,39,humid_subtropical,winter,no,mild late winter weather
BNE,9,September,20.1,36,humid_subtropical,spring,yes,warm and dry
BNE,10,October,22.5,71,humid_subtropical,spring,yes,pleasant spring weather
BNE,11,November,24.1,98,humid_subtropical,spring,yes,warm with moderate rain
BNE,12,December,25.3,129,humid_subtropical,summer_peak,yes,warm and lively summer period
BOM,1,January,24.5,1,tropical_monsoon,dry_season,yes,warm and very dry
BOM,2,February,25.2,1,tropical_monsoon,dry_season,yes,warm dry weather
BOM,3,March,27.4,0,tropical_monsoon,dry_season,yes,hot and dry
BOM,4,April,29.4,1,tropical_monsoon,pre_monsoon,no,very hot and humid
BOM,5,May,30.1,12,tropical_monsoon,pre_monsoon,no,hottest pre-monsoon month
BOM,6,June,28.5,523,tropical_monsoon,monsoon,no,heavy southwest monsoon
BOM,7,July,27.4,840,tropical_monsoon,monsoon,no,extremely wet peak monsoon
BOM,8,August,27.1,585,tropical_monsoon,monsoon,no,warm and very rainy
BOM,9,September,27.5,340,tropical_monsoon,monsoon,no,humid with persistent rain
BOM,10,October,29.0,89,tropical_monsoon,post_monsoon,no,hot with retreating rain
BOM,11,November,28.0,17,tropical_monsoon,dry_season,yes,warm and clearer
BOM,12,December,25.9,5,tropical_monsoon,dry_season,yes,warm and dry
BWN,1,January,27.0,321,tropical_rainforest,wet_season,no,hot and very wet
BWN,2,February,27.3,220,tropical_rainforest,wet_season,no,warm with frequent rain
BWN,3,March,27.7,206,tropical_rainforest,wet_season,no,hot and humid
BWN,4,April,28.0,218,tropical_rainforest,wet_season,no,humid tropical weather
BWN,5,May,28.1,219,tropical_rainforest,humid_season,no,hot with regular showers
BWN,6,June,28.0,246,tropical_rainforest,humid_season,no,humid and wet
BWN,7,July,27.8,255,tropical_rainforest,humid_season,no,warm with frequent rain
BWN,8,August,27.8,274,tropical_rainforest,humid_season,no,humid tropical showers
BWN,9,September,27.8,299,tropical_rainforest,wet_season,no,very wet
BWN,10,October,27.7,314,tropical_rainforest,wet_season,no,rainfall increases further
BWN,11,November,27.4,343,tropical_rainforest,wet_season,no,rainy and humid
BWN,12,December,27.1,349,tropical_rainforest,wet_season,no,wettest part of the year
CPT,1,January,20.0,17,mediterranean,summer_peak,yes,warm dry summer
CPT,2,February,20.1,16,mediterranean,summer_peak,yes,warmest and dry
CPT,3,March,18.9,18,mediterranean,summer_peak,yes,warm and sunny
CPT,4,April,16.9,50,mediterranean,autumn_shoulder,yes,mild with more rain
CPT,5,May,15.1,72,mediterranean,autumn_shoulder,no,cooler with winter rains building
CPT,6,June,13.6,112,mediterranean,winter_wet,no,cool and wet
CPT,7,July,13.0,103,mediterranean,winter_wet,no,cool wet winter weather
CPT,8,August,13.0,90,mediterranean,winter_wet,no,cool with frequent rain
CPT,9,September,14.0,55,mediterranean,spring,yes,mild spring conditions
CPT,10,October,15.8,32,mediterranean,spring,yes,pleasant and drier
CPT,11,November,17.8,18,mediterranean,spring,yes,warm and sunny
CPT,12,December,19.3,14,mediterranean,summer_peak,yes,warm and dry
DAC,1,January,19.1,8,tropical_savanna,dry_season,yes,cooler and dry
DAC,2,February,22.5,19,tropical_savanna,dry_season,yes,warm and dry
DAC,3,March,27.2,44,tropical_savanna,shoulder,no,hotter with rising humidity
DAC,4,April,29.2,127,tropical_savanna,pre_monsoon,no,very warm with storms
DAC,5,May,29.6,267,tropical_savanna,pre_monsoon,no,hot humid and stormy
DAC,6,June,29.0,358,tropical_savanna,monsoon,no,very wet monsoon weather
DAC,7,July,28.7,373,tropical_savanna,monsoon,no,warm and extremely wet
DAC,8,August,28.8,316,tropical_savanna,monsoon,no,humid and rainy
DAC,9,September,28.5,280,tropical_savanna,monsoon,no,warm with heavy rain
DAC,10,October,27.7,180,tropical_savanna,post_monsoon,no,humid with easing rains
DAC,11,November,24.2,34,tropical_savanna,dry_season,yes,warm and much drier
DAC,12,December,20.3,10,tropical_savanna,dry_season,yes,pleasant and dry
DPS,1,January,25.6,296,tropical_monsoon,wet_season,no,hot and very wet
DPS,2,February,25.7,244,tropical_monsoon,wet_season,no,warm with heavy rain
DPS,3,March,25.8,210,tropical_monsoon,wet_season,no,humid tropical weather
DPS,4,April,25.9,131,tropical_monsoon,pleasant_peak,yes,warm with easing rain
DPS,5,May,25.8,74,tropical_monsoon,pleasant_peak,yes,warm and drier
DPS,6,June,25.1,57,tropical_monsoon,dry_season,yes,warm and relatively dry
DPS,7,July,24.3,53,tropical_monsoon,dry_season,yes,cooler dry-season month
DPS,8,August,24.0,42,tropical_monsoon,dry_season,yes,driest month and pleasant
DPS,9,September,24.4,53,tropical_monsoon,dry_season,yes,dry and beach-friendly
DPS,10,October,25.2,68,tropical_monsoon,pleasant_peak,yes,warm with low rain
DPS,11,November,25.7,154,tropical_monsoon,pleasant_peak,yes,warm before wet peak
DPS,12,December,25.7,260,tropical_monsoon,wet_season,no,hot and rainy
MDC,1,January,26.2,180,tropical_rainforest,humid_season,no,warm with tropical showers
MDC,2,February,26.2,140,tropical_rainforest,humid_season,no,warm and humid
MDC,3,March,26.2,175,tropical_rainforest,humid_season,no,humid with regular rain
MDC,4,April,26.4,210,tropical_rainforest,wet_season,no,warm and wetter
MDC,5,May,26.3,275,tropical_rainforest,wet_season,no,humid with rising rainfall
MDC,6,June,26.0,235,tropical_rainforest,wet_season,no,warm and wet
MDC,7,July,25.7,210,tropical_rainforest,wet_season,no,slightly cooler and rainy
MDC,8,August,25.9,190,tropical_rainforest,wet_season,no,warm with frequent showers
MDC,9,September,26.3,145,tropical_rainforest,shoulder,no,warm with easing rain
MDC,10,October,26.5,115,tropical_rainforest,pleasant_peak,yes,warm and relatively drier
MDC,11,November,26.4,140,tropical_rainforest,pleasant_peak,yes,warm tropical weather
MDC,12,December,26.3,190,tropical_rainforest,humid_season,no,warm with heavier showers
PLM,1,January,25.6,254,tropical_rainforest,wet_season,no,hot and very humid
PLM,2,February,25.9,251,tropical_rainforest,wet_season,no,warm and rainy
PLM,3,March,26.1,305,tropical_rainforest,wet_season,no,humid with peak rain
PLM,4,April,26.3,274,tropical_rainforest,wet_season,no,hot and stormy
PLM,5,May,26.4,186,tropical_rainforest,humid_season,no,warm with frequent showers
PLM,6,June,26.2,124,tropical_rainforest,shoulder,no,hot and somewhat drier
PLM,7,July,26.0,116,tropical_rainforest,shoulder,no,warm and relatively drier
PLM,8,August,26.5,84,tropical_rainforest,pleasant_peak,yes,warm with the least rain
PLM,9,September,27.1,88,tropical_rainforest,pleasant_peak,yes,hottest and relatively dry
PLM,10,October,27.0,176,tropical_rainforest,humid_season,no,hot with rainfall returning
PLM,11,November,26.2,255,tropical_rainforest,wet_season,no,humid and rainy
PLM,12,December,25.8,297,tropical_rainforest,wet_season,no,warm and very wet
PNH,1,January,27.0,17,tropical_savanna,dry_season,yes,hot and dry
PNH,2,February,28.4,9,tropical_savanna,dry_season,yes,very warm and driest month
PNH,3,March,29.6,41,tropical_savanna,hot_season,no,very hot before monsoon
PNH,4,April,29.8,86,tropical_savanna,hot_season,no,hottest month with rising storms
PNH,5,May,28.9,163,tropical_savanna,wet_season,no,humid with monsoon onset
PNH,6,June,28.1,157,tropical_savanna,wet_season,no,hot and rainy
PNH,7,July,27.8,159,tropical_savanna,wet_season,no,warm with regular heavy rain
PNH,8,August,27.6,185,tropical_savanna,wet_season,no,humid and wet
PNH,9,September,27.1,255,tropical_savanna,wet_season,no,wettest month
PNH,10,October,27.0,250,tropical_savanna,wet_season,no,warm with late monsoon rain
PNH,11,November,26.6,111,tropical_savanna,dry_season,yes,warm with rains easing
PNH,12,December,26.4,27,tropical_savanna,dry_season,yes,warm and dry
KLU,1,January,-1.8,55,temperate_oceanic,winter,no,cold winter weather
KLU,2,February,-0.4,57,temperate_oceanic,winter,no,cold with low valley precipitation
KLU,3,March,4.4,78,temperate_oceanic,spring,no,chilly early spring
KLU,4,April,9.1,92,temperate_oceanic,spring,no,cool and greener
KLU,5,May,13.8,110,temperate_oceanic,spring,no,mild with more rain
KLU,6,June,17.2,126,temperate_oceanic,summer_peak,yes,warm and scenic
KLU,7,July,19.2,143,temperate_oceanic,summer_peak,yes,warmest month
KLU,8,August,18.6,152,temperate_oceanic,summer_peak,yes,warm alpine summer
KLU,9,September,14.5,121,temperate_oceanic,summer_peak,yes,cooler but still pleasant
KLU,10,October,9.3,93,temperate_oceanic,autumn,no,cool autumn weather
KLU,11,November,3.4,77,temperate_oceanic,winter,no,cold and greyer
KLU,12,December,-0.8,64,temperate_oceanic,winter,no,cold start to winter
SEA,1,January,4.5,181,warm_summer_mediterranean,wet_cool,no,cold and rainy
SEA,2,February,4.8,127,warm_summer_mediterranean,wet_cool,no,cool and damp
SEA,3,March,6.8,145,warm_summer_mediterranean,wet_cool,no,cool with frequent rain
SEA,4,April,9.1,122,warm_summer_mediterranean,shoulder,no,milder spring weather
SEA,5,May,12.7,81,warm_summer_mediterranean,shoulder,yes,pleasant late spring
SEA,6,June,15.7,66,warm_summer_mediterranean,summer_peak,yes,mild and relatively dry
SEA,7,July,19.0,29,warm_summer_mediterranean,summer_peak,yes,warmest and driest month
SEA,8,August,19.3,37,warm_summer_mediterranean,summer_peak,yes,warm and sunny
SEA,9,September,15.8,67,warm_summer_mediterranean,summer_peak,yes,mild early autumn weather
SEA,10,October,11.1,143,warm_summer_mediterranean,autumn_shoulder,no,cooler with rain returning
SEA,11,November,6.9,206,warm_summer_mediterranean,wet_cool,no,cold wettest month
SEA,12,December,4.2,182,warm_summer_mediterranean,wet_cool,no,cold and wet
VIE,1,January,0.0,39,temperate_oceanic,winter,no,cold and relatively dry
VIE,2,February,1.8,37,temperate_oceanic,winter,no,cool late winter weather
VIE,3,March,6.7,41,temperate_oceanic,spring,no,milder early spring
VIE,4,April,12.2,46,temperate_oceanic,spring,yes,pleasant spring weather
VIE,5,May,16.7,66,temperate_oceanic,spring,yes,warm and greener
VIE,6,June,20.4,71,temperate_oceanic,summer_peak,yes,warm early summer
VIE,7,July,21.4,82,temperate_oceanic,summer_peak,yes,warmest month
VIE,8,August,21.0,65,temperate_oceanic,summer_peak,yes,warm and lively
VIE,9,September,16.6,51,temperate_oceanic,autumn_shoulder,yes,mild and comfortable
VIE,10,October,11.5,43,temperate_oceanic,autumn_shoulder,no,cooler with autumn feel
VIE,11,November,5.6,50,temperate_oceanic,winter,no,chilly and greyer
VIE,12,December,1.6,47,temperate_oceanic,winter,no,cold winter weather
KUL,1,January,25.1,231,tropical_rainforest,humid_season,no,warm with frequent rain
KUL,2,February,26.1,188,tropical_rainforest,pleasant_peak,yes,warm and relatively drier
KUL,3,March,26.4,263,tropical_rainforest,humid_season,no,hot and humid
KUL,4,April,26.4,297,tropical_rainforest,wet_season,no,very humid with thunderstorms
KUL,5,May,26.6,226,tropical_rainforest,humid_season,no,hot with regular showers
KUL,6,June,26.6,148,tropical_rainforest,pleasant_peak,yes,warm with a drier spell
KUL,7,July,26.4,155,tropical_rainforest,pleasant_peak,yes,warm and relatively drier
KUL,8,August,26.4,189,tropical_rainforest,pleasant_peak,yes,warm tropical weather
KUL,9,September,26.2,225,tropical_rainforest,humid_season,no,humid with more rain
KUL,10,October,26.0,307,tropical_rainforest,wet_season,no,very wet inter-monsoon period
KUL,11,November,25.5,413,tropical_rainforest,wet_season,no,wettest month
KUL,12,December,25.4,318,tropical_rainforest,wet_season,no,warm and rainy
MLE,1,January,26.8,86,tropical_monsoon,pleasant_peak,yes,warm and sunny
MLE,2,February,27.1,43,tropical_monsoon,pleasant_peak,yes,warmest dry stretch
MLE,3,March,27.8,59,tropical_monsoon,pleasant_peak,yes,warm and beach-friendly
MLE,4,April,28.0,121,tropical_monsoon,shoulder,yes,hot with some showers
MLE,5,May,27.7,234,tropical_monsoon,wet_season,no,humid with more rain
MLE,6,June,27.7,140,tropical_monsoon,wet_season,no,warm and unsettled
MLE,7,July,27.4,148,tropical_monsoon,wet_season,no,warm with frequent showers
MLE,8,August,27.3,154,tropical_monsoon,wet_season,no,humid and rainy
MLE,9,September,27.1,185,tropical_monsoon,wet_season,no,warm with rougher weather
MLE,10,October,27.0,203,tropical_monsoon,wet_season,no,wet and humid
MLE,11,November,26.8,226,tropical_monsoon,wet_season,no,very wet late monsoon
MLE,12,December,26.8,219,tropical_monsoon,shoulder,no,warm with lingering rain
MNL,1,January,24.9,33,tropical_savanna,dry_season,yes,warm and dry
MNL,2,February,25.4,23,tropical_savanna,dry_season,yes,warm and sunny
MNL,3,March,26.7,25,tropical_savanna,dry_season,yes,hot and dry
MNL,4,April,28.3,21,tropical_savanna,dry_season,yes,hottest and still fairly dry
MNL,5,May,28.4,123,tropical_savanna,hot_season,no,hot with rising humidity
MNL,6,June,27.4,183,tropical_savanna,wet_season,no,warm with rainy-season onset
MNL,7,July,26.6,327,tropical_savanna,wet_season,no,very wet peak monsoon
MNL,8,August,26.4,287,tropical_savanna,wet_season,no,humid and storm-prone
MNL,9,September,26.4,264,tropical_savanna,wet_season,no,warm and rainy
MNL,10,October,26.5,218,tropical_savanna,wet_season,no,humid with typhoon risk
MNL,11,November,26.0,130,tropical_savanna,dry_season,yes,warm with improving weather
MNL,12,December,25.3,109,tropical_savanna,dry_season,yes,warm and drier
MAN,1,January,4.0,96,temperate_oceanic,winter,no,cold and damp
MAN,2,February,4.3,74,temperate_oceanic,winter,no,cool and grey
MAN,3,March,6.3,77,temperate_oceanic,spring,no,chilly early spring
MAN,4,April,8.7,73,temperate_oceanic,spring,no,cool but improving
MAN,5,May,11.8,77,temperate_oceanic,spring,yes,mild and greener
MAN,6,June,14.3,85,temperate_oceanic,summer_peak,yes,mild early summer
MAN,7,July,15.7,91,temperate_oceanic,summer_peak,yes,warmest month
MAN,8,August,15.3,90,temperate_oceanic,summer_peak,yes,mild and comfortable
MAN,9,September,13.0,87,temperate_oceanic,autumn_shoulder,no,cooler with some rain
MAN,10,October,9.8,95,temperate_oceanic,autumn_shoulder,no,cool and damp
MAN,11,November,6.5,98,temperate_oceanic,winter,no,chilly late autumn weather
MAN,12,December,4.5,104,temperate_oceanic,winter,no,cold and wettest period
LNZ,1,January,-0.7,65,temperate_oceanic,winter,no,cold and relatively dry
LNZ,2,February,0.5,55,temperate_oceanic,winter,no,cool late winter weather
LNZ,3,March,4.7,74,temperate_oceanic,spring,no,milder early spring
LNZ,4,April,9.9,62,temperate_oceanic,spring,no,pleasant spring weather
LNZ,5,May,14.2,92,temperate_oceanic,spring,yes,mild and green
LNZ,6,June,17.9,92,temperate_oceanic,summer_peak,yes,warm early summer
LNZ,7,July,19.5,98,temperate_oceanic,summer_peak,yes,warmest month
LNZ,8,August,19.3,89,temperate_oceanic,summer_peak,yes,warm and scenic
LNZ,9,September,14.7,79,temperate_oceanic,autumn_shoulder,yes,mild and comfortable
LNZ,10,October,10.0,65,temperate_oceanic,autumn_shoulder,no,cool autumn weather
LNZ,11,November,4.8,62,temperate_oceanic,winter,no,chilly and greyer
LNZ,12,December,0.6,64,temperate_oceanic,winter,no,cold winter weather
CNX,1,January,21.6,8,tropical_savanna,dry_season,yes,coolest and dry
CNX,2,February,24.4,3,tropical_savanna,dry_season,yes,warm and driest month
CNX,3,March,27.1,13,tropical_savanna,hot_season,no,hot and dry
CNX,4,April,29.1,27,tropical_savanna,hot_season,no,hottest month
CNX,5,May,27.4,110,tropical_savanna,wet_season,no,humid with rain starting
CNX,6,June,26.3,129,tropical_savanna,wet_season,no,warm and rainy
CNX,7,July,25.7,162,tropical_savanna,wet_season,no,warm with regular rain
CNX,8,August,25.5,240,tropical_savanna,wet_season,no,wettest month
CNX,9,September,25.2,211,tropical_savanna,wet_season,no,humid and wet
CNX,10,October,24.5,118,tropical_savanna,shoulder,yes,warm with easing rain
CNX,11,November,22.7,53,tropical_savanna,pleasant_peak,yes,warm and comfortable
CNX,12,December,21.1,15,tropical_savanna,pleasant_peak,yes,cool and dry
COK,1,January,26.5,22,tropical_monsoon,dry_season,yes,warm and dry
COK,2,February,27.3,27,tropical_monsoon,dry_season,yes,warm with low rainfall
COK,3,March,28.2,66,tropical_monsoon,shoulder,no,hottest stretch before stronger rains
