f_city_code,f_public_transport_widely_used_in_country_flag,f_transport_mode
KBR,yes,bus
DAD,yes,bus
CEI,no,bus
SIN,yes,metro
SIN,yes,bus
NRT,yes,metro
NRT,yes,subway
NRT,yes,bus
NRT,yes,commuter_rail
NRT,yes,high_speed_rail
LHR,yes,tube
LHR,yes,bus
LHR,yes,commuter_rail
LHR,yes,overground
