f_city_code,f_utc_offset,f_timezone_name
CJB,+05:30,Asia/Kolkata
VTZ,+05:30,Asia/Kolkata
MYY,+08:00,Asia/Kuching
CTU,+08:00,Asia/Shanghai
AOR,+08:00,Asia/Kuala_Lumpur
JHB,+08:00,Asia/Kuala_Lumpur
TGG,+08:00,Asia/Kuala_Lumpur
BTU,+08:00,Asia/Kuching
SBW,+08:00,Asia/Kuching
LBU,+08:00,Asia/Kuching
SDK,+08:00,Asia/Kuching
TWU,+08:00,Asia/Kuching
MKZ,+08:00,Asia/Kuala_Lumpur
LYS,+02:00,Europe/Paris
SXB,+02:00,Europe/Paris
LIL,+02:00,Europe/Paris
NTE,+02:00,Europe/Paris
MRS,+02:00,Europe/Paris
KJT,+07:00,Asia/Jakarta
BLQ,+02:00,Europe/Rome
FLR,+02:00,Europe/Rome
NAP,+02:00,Europe/Rome
PSA,+02:00,Europe/Rome
VRN,+02:00,Europe/Rome
PDG,+07:00,Asia/Jakarta
PQC,+07:00,Asia/Ho_Chi_Minh
ILO,+08:00,Asia/Manila
LBJ,+08:00,Asia/Makassar
KBR,+08:00,Asia/Kuala_Lumpur
DAD,+07:00,Asia/Ho_Chi_Minh
CEI,+07:00,Asia/Bangkok
EXT,+01:00,Europe/London
YMQ,-04:00,America/Toronto
XMN,+08:00,Asia/Shanghai
YEA,-06:00,America/Edmonton
SNN,+01:00,Europe/Dublin
SLC,-06:00,America/Denver
SAN,-07:00,America/Los_Angeles
STL,-05:00,America/Chicago
SGD,+02:00,Europe/Copenhagen
TLS,+02:00,Europe/Paris
SVG,+02:00,Europe/Oslo
SYR,-04:00,America/New_York
SZX,+08:00,Asia/Shanghai
PHX,-07:00,America/Phoenix
PMR,+12:00,Pacific/Auckland
CHI,-05:00,America/Chicago
ORK,+01:00,Europe/Dublin
PDX,-07:00,America/Los_Angeles
NCE,+02:00,Europe/Paris
NCL,+01:00,Europe/London
NPE,+12:00,Pacific/Auckland
AAL,+02:00,Europe/Copenhagen
AAR,+02:00,Europe/Copenhagen
ABJ,+00:00,Africa/Abidjan
ABQ,-06:00,America/Denver
ABV,+01:00,Africa/Lagos
ABX,+10:00,Australia/Sydney
ABZ,+01:00,Europe/London
ACC,+00:00,Africa/Accra
ACE,+01:00,Atlantic/Canary
ADA,+03:00,Europe/Istanbul
ADD,+03:00,Africa/Addis_Ababa
ADZ,-05:00,America/Bogota
AER,+03:00,Europe/Moscow
AES,+02:00,Europe/Oslo
AGH,+02:00,Europe/Stockholm
AGP,+02:00,Europe/Madrid
AKJ,+09:00,Asia/Tokyo
ALA,+05:00,Asia/Almaty
ALC,+02:00,Europe/Madrid
ALG,+01:00,Africa/Algiers
ALY,+02:00,Africa/Cairo
AMM,+03:00,Asia/Amman
ANC,-08:00,America/Anchorage
ANK,+03:00,Europe/Istanbul
AOI,+02:00,Europe/Rome
AOJ,+09:00,Asia/Tokyo
APW,+13:00,Pacific/Apia
ASM,+03:00,Africa/Asmara
ASP,+09:30,Australia/Darwin
ASR,+03:00,Europe/Istanbul
AYQ,+09:30,Australia/Darwin
AYT,+03:00,Europe/Istanbul
BAH,+03:00,Asia/Bahrain
BAK,+04:00,Asia/Baku
BAQ,-05:00,America/Bogota
BBI,+05:30,Asia/Kolkata
BCD,+08:00,Asia/Manila
BDA,-03:00,Atlantic/Bermuda
BDB,+10:00,Australia/Brisbane
BDL,-04:00,America/New_York
BDQ,+05:30,Asia/Kolkata
BDS,+02:00,Europe/Rome
BEG,+02:00,Europe/Belgrade
BEL,-03:00,America/Belem
BES,+02:00,Europe/Paris
BEY,+03:00,Asia/Beirut
BFN,+02:00,Africa/Johannesburg
BFS,+01:00,Europe/London
BGA,-05:00,America/Bogota
BGI,-04:00,America/Barbados
BGO,+02:00,Europe/Oslo
BGW,+03:00,Asia/Baghdad
BHE,+12:00,Pacific/Auckland
BHO,+05:30,Asia/Kolkata
BHX,+01:00,Europe/London
BHZ,-03:00,America/Sao_Paulo
BIL,-06:00,America/Denver
BIO,+02:00,Europe/Madrid
BIQ,+02:00,Europe/Paris
BJR,+03:00,Africa/Addis_Ababa
BKO,+00:00,Africa/Bamako
BLL,+02:00,Europe/Copenhagen
BLZ,+02:00,Africa/Blantyre
BME,+08:00,Australia/Perth
BNA,-05:00,America/Chicago
BNK,+10:00,Australia/Sydney
BOD,+02:00,Europe/Paris
BOG,-05:00,America/Bogota
BOI,-06:00,America/Denver
BOO,+02:00,Europe/Oslo
BOS,-04:00,America/New_York
BRE,+02:00,Europe/Berlin
BRI,+02:00,Europe/Rome
BSB,-03:00,America/Sao_Paulo
BSL,+02:00,Europe/Zurich
BSO,+08:00,Asia/Manila
BTR,-05:00,America/Chicago
BTV,-04:00,America/New_York
BUD,+02:00,Europe/Budapest
BUE,-03:00,America/Argentina/Buenos_Aires
BUF,-04:00,America/New_York
BUH,+03:00,Europe/Bucharest
BUR,-07:00,America/Los_Angeles
BUS,+04:00,Asia/Tbilisi
BWI,-04:00,America/New_York
BXN,+03:00,Europe/Istanbul
BXU,+08:00,Asia/Manila
BZE,-06:00,America/Belize
BZG,+02:00,Europe/Warsaw
BZN,-06:00,America/Denver
CAG,+02:00,Europe/Rome
CAI,+02:00,Africa/Cairo
CAS,+01:00,Africa/Casablanca
CBO,+08:00,Asia/Manila
CBR,+10:00,Australia/Sydney
CCJ,+05:30,Asia/Kolkata
CCS,-04:00,America/Caracas
CEK,+05:00,Asia/Yekaterinburg
CFE,+02:00,Europe/Paris
CFS,+10:00,Australia/Sydney
CGN,+02:00,Europe/Berlin
CGQ,+08:00,Asia/Shanghai
CGY,+08:00,Asia/Manila
CHS,-04:00,America/New_York
CID,-05:00,America/Chicago
CLE,-04:00,America/New_York
CLJ,+03:00,Europe/Bucharest
CLO,-05:00,America/Bogota
CLT,-04:00,America/New_York
CMH,-04:00,America/New_York
CND,+03:00,Europe/Bucharest
CNJ,+10:00,Australia/Brisbane
COR,-03:00,America/Argentina/Cordoba
COS,-06:00,America/Denver
CRM,+08:00,Asia/Manila
CRP,-05:00,America/Chicago
CSX,+08:00,Asia/Shanghai
CTA,+02:00,Europe/Rome
CTG,-05:00,America/Bogota
CUN,-05:00,America/Cancun
CUR,-04:00,America/Curacao
CUZ,-05:00,America/Lima
CVG,-04:00,America/New_York
CWB,-03:00,America/Sao_Paulo
CYP,+08:00,Asia/Manila
CZX,+08:00,Asia/Shanghai
DAR,+03:00,Africa/Dar_es_Salaam
DBV,+02:00,Europe/Zagreb
DCY,+08:00,Asia/Shanghai
DEN,-06:00,America/Denver
DFW,-05:00,America/Chicago
DGT,+08:00,Asia/Manila
DJE,+01:00,Africa/Tunis
DKR,+00:00,Africa/Dakar
DLA,+01:00,Africa/Douala
DLC,+08:00,Asia/Shanghai
DLM,+03:00,Europe/Istanbul
DLU,+08:00,Asia/Shanghai
DMM,+03:00,Asia/Riyadh
DNK,+03:00,Europe/Kyiv
DNZ,+03:00,Europe/Istanbul
DOH,+03:00,Asia/Qatar
DOY,+08:00,Asia/Shanghai
DPL,+08:00,Asia/Manila
DRP,+08:00,Asia/Manila
DRS,+02:00,Europe/Berlin
DSA,+01:00,Europe/London
DSM,-05:00,America/Chicago
DTM,+02:00,Europe/Berlin
DTT,-04:00,America/Detroit
ASU,-03:00,America/Asuncion
ASW,+02:00,Africa/Cairo
ATL,-04:00,America/New_York
AUA,-04:00,America/Aruba
AUH,+04:00,Asia/Dubai
AUS,-05:00,America/Chicago
AVL,-04:00,America/New_York
AXM,-05:00,America/Bogota
AXT,+09:00,Asia/Tokyo
AXU,+03:00,Africa/Addis_Ababa
DUB,+01:00,Europe/Dublin
DUD,+12:00,Pacific/Auckland
DUR,+02:00,Africa/Johannesburg
DUS,+02:00,Europe/Berlin
DYG,+08:00,Asia/Shanghai
DYU,+05:00,Asia/Dushanbe
EAS,+02:00,Europe/Madrid
EBB,+03:00,Africa/Kampala
EBL,+03:00,Asia/Baghdad
ECN,+03:00,Asia/Nicosia
EDI,+01:00,Europe/London
EGE,-06:00,America/Denver
ELS,+02:00,Africa/Johannesburg
EMD,+10:00,Australia/Brisbane
EUG,-07:00,America/Los_Angeles
EUQ,+08:00,Asia/Manila
EVN,+04:00,Asia/Yerevan
FAE,+01:00,Atlantic/Faroe
FAO,+01:00,Europe/Lisbon
FAT,-07:00,America/Los_Angeles
FDH,+02:00,Europe/Berlin
FKB,+02:00,Europe/Berlin
FKS,+09:00,Asia/Tokyo
FLL,-04:00,America/New_York
FLN,-03:00,America/Sao_Paulo
FMO,+02:00,Europe/Berlin
FMY,-04:00,America/New_York
FNC,+01:00,Europe/Lisbon
FOR,-03:00,America/Fortaleza
FRU,+06:00,Asia/Bishkek
FSD,-05:00,America/Chicago
FSZ,+09:00,Asia/Tokyo
FUE,+01:00,Atlantic/Canary
FUJ,+09:00,Asia/Tokyo
GAU,+05:30,Asia/Kolkata
GAY,+05:30,Asia/Kolkata
GBE,+02:00,Africa/Gaborone
GCM,-05:00,America/Cayman
GDL,-06:00,America/Mexico_City
GDN,+02:00,Europe/Warsaw
GDQ,+03:00,Africa/Addis_Ababa
GEG,-07:00,America/Los_Angeles
GES,+08:00,Asia/Manila
GET,+08:00,Australia/Perth
GIS,+12:00,Pacific/Auckland
GLA,+01:00,Europe/London
GLT,+10:00,Australia/Brisbane
GOA,+02:00,Europe/Rome
GOI,+05:30,Asia/Kolkata
GOT,+02:00,Europe/Stockholm
GPS,-06:00,Pacific/Galapagos
GPT,-05:00,America/Chicago
GRJ,+02:00,Africa/Johannesburg
GRQ,+02:00,Europe/Amsterdam
GRR,-04:00,America/New_York
GRX,+02:00,Europe/Madrid
GUA,-06:00,America/Guatemala
GUM,+10:00,Pacific/Guam
GWT,+02:00,Europe/Berlin
GYE,-05:00,America/Guayaquil
GYN,-03:00,America/Sao_Paulo
GZT,+03:00,Europe/Istanbul
HAC,+09:00,Asia/Tokyo
HAJ,+02:00,Europe/Berlin
HAM,+02:00,Europe/Berlin
HAU,+02:00,Europe/Oslo
HAV,-04:00,America/Havana
HBA,+10:00,Australia/Hobart
HDF,+02:00,Europe/Berlin
HEL,+03:00,Europe/Helsinki
HER,+03:00,Europe/Athens
HET,+08:00,Asia/Shanghai
HFE,+08:00,Asia/Shanghai
HIA,+08:00,Asia/Shanghai
HIJ,+09:00,Asia/Tokyo
HIR,+11:00,Pacific/Guadalcanal
HJR,+05:30,Asia/Kolkata
HKD,+09:00,Asia/Tokyo
HLD,+08:00,Asia/Shanghai
HLZ,+12:00,Pacific/Auckland
HMO,-07:00,America/Hermosillo
HNL,-10:00,Pacific/Honolulu
HOU,-05:00,America/Chicago
HRB,+08:00,Asia/Shanghai
HRE,+02:00,Africa/Harare
HRG,+02:00,Africa/Cairo
HRK,+03:00,Europe/Kyiv
HSG,+09:00,Asia/Tokyo
HTI,+10:00,Australia/Brisbane
HVB,+10:00,Australia/Brisbane
IAO,+08:00,Asia/Manila
IBZ,+02:00,Europe/Madrid
ICT,-05:00,America/Chicago
IDR,+05:30,Asia/Kolkata
IEV,+03:00,Europe/Kyiv
IFN,+03:30,Asia/Tehran
IGU,-03:00,America/Sao_Paulo
IKA,+03:30,Asia/Tehran
IMF,+05:30,Asia/Kolkata
INC,+08:00,Asia/Shanghai
IND,-04:00,America/Indiana/Indianapolis
INV,+01:00,Europe/London
IOM,+01:00,Europe/Isle_of_Man
IOS,-03:00,America/Bahia
ISA,+10:00,Australia/Brisbane
ISB,+05:00,Asia/Karachi
ISG,+09:00,Asia/Tokyo
ITO,-10:00,Pacific/Honolulu
IVC,+12:00,Pacific/Auckland
IWJ,+09:00,Asia/Tokyo
IWK,+09:00,Asia/Tokyo
IXB,+05:30,Asia/Kolkata
IXC,+05:30,Asia/Kolkata
IXJ,+05:30,Asia/Kolkata
IXL,+05:30,Asia/Kolkata
IXM,+05:30,Asia/Kolkata
IXR,+05:30,Asia/Kolkata
IXU,+05:30,Asia/Kolkata
IXZ,+05:30,Asia/Kolkata
IZM,+03:00,Europe/Istanbul
JAI,+05:30,Asia/Kolkata
JAN,-05:00,America/Chicago
JAX,-04:00,America/New_York
JDH,+05:30,Asia/Kolkata
JER,+01:00,Europe/Jersey
JIB,+03:00,Africa/Djibouti
JJN,+08:00,Asia/Shanghai
JPA,-03:00,America/Fortaleza
JRO,+03:00,Africa/Dar_es_Salaam
JTR,+03:00,Europe/Athens
JUL,-05:00,America/Lima
JUZ,+08:00,Asia/Shanghai
KAN,+01:00,Africa/Lagos
KCZ,+09:00,Asia/Tokyo
KEL,+02:00,Europe/Berlin
KGI,+08:00,Australia/Perth
KGL,+02:00,Africa/Kigali
KHG,+08:00,Asia/Shanghai
KHH,+08:00,Asia/Taipei
KHI,+05:00,Asia/Karachi
KHV,+10:00,Asia/Vladivostok
KIJ,+09:00,Asia/Tokyo
KIN,-05:00,America/Jamaica
KIV,+03:00,Europe/Chisinau
KKE,+12:00,Pacific/Auckland
KKN,+02:00,Europe/Oslo
KLO,+08:00,Asia/Manila
KLR,+02:00,Europe/Stockholm
KMG,+08:00,Asia/Shanghai
KMI,+09:00,Asia/Tokyo
KMJ,+09:00,Asia/Tokyo
KMQ,+09:00,Asia/Tokyo
KNX,+08:00,Australia/Perth
KOA,-10:00,Pacific/Honolulu
KOJ,+09:00,Asia/Tokyo
KRK,+02:00,Europe/Warsaw
KRN,+02:00,Europe/Stockholm
KRP,+02:00,Europe/Copenhagen
KRR,+03:00,Europe/Moscow
KRS,+02:00,Europe/Oslo
KRT,+02:00,Africa/Khartoum
KSA,+11:00,Pacific/Kosrae
KSC,+02:00,Europe/Bratislava
KSU,+02:00,Europe/Oslo
KTA,+08:00,Australia/Perth
KTW,+02:00,Europe/Warsaw
KUF,+04:00,Europe/Samara
KUH,+09:00,Asia/Tokyo
KWE,+08:00,Asia/Shanghai
KWI,+03:00,Asia/Kuwait
KWL,+08:00,Asia/Shanghai
KYA,+03:00,Europe/Istanbul
KZN,+03:00,Europe/Moscow
LAD,+01:00,Africa/Luanda
LAO,+08:00,Asia/Manila
LAS,-07:00,America/Los_Angeles
LBV,+01:00,Africa/Libreville
LCA,+03:00,Asia/Nicosia
LCG,+02:00,Europe/Madrid
LED,+03:00,Europe/Moscow
LEI,+02:00,Europe/Madrid
LEJ,+02:00,Europe/Berlin
LFW,+00:00,Africa/Lome
LGB,-07:00,America/Los_Angeles
LHE,+05:00,Asia/Karachi
LHW,+08:00,Asia/Shanghai
LIH,-10:00,Pacific/Honolulu
LIM,-05:00,America/Lima
LIR,-06:00,America/Costa_Rica
LIS,+01:00,Europe/Lisbon
LJG,+08:00,Asia/Shanghai
LJU,+02:00,Europe/Ljubljana
LKO,+05:30,Asia/Kolkata
LLA,+02:00,Europe/Stockholm
LLI,+03:00,Africa/Addis_Ababa
LOS,+01:00,Africa/Lagos
LPA,+01:00,Atlantic/Canary
LPB,-04:00,America/La_Paz
LPQ,+07:00,Asia/Vientiane
LRD,-05:00,America/Chicago
LRT,+02:00,Europe/Paris
LST,+10:00,Australia/Hobart
LUG,+02:00,Europe/Zurich
LUN,+02:00,Africa/Lusaka
LUX,+02:00,Europe/Luxembourg
LUZ,+02:00,Europe/Warsaw
LVI,+02:00,Africa/Lusaka
LWO,+03:00,Europe/Kyiv
LXA,+08:00,Asia/Shanghai
LXR,+03:00,Africa/Cairo
LYI,+08:00,Asia/Shanghai
LYR,+02:00,Arctic/Longyearbyen
MAD,+02:00,Europe/Madrid
MAF,-05:00,America/Chicago
MAH,+02:00,Europe/Madrid
MAO,-04:00,America/Manaus
MBA,+03:00,Africa/Nairobi
MBE,+09:00,Asia/Tokyo
MBJ,-05:00,America/Jamaica
MCT,+04:00,Asia/Muscat
MCY,+10:00,Australia/Brisbane
MDE,-05:00,America/Bogota
MDT,-04:00,America/New_York
MED,+03:00,Asia/Riyadh
MEM,-05:00,America/Chicago
MEX,-06:00,America/Mexico_City
MFE,-05:00,America/Chicago
MFR,-07:00,America/Los_Angeles
MGA,-06:00,America/Managua
MIA,-04:00,America/New_York
MID,-06:00,America/Merida
MIG,+08:00,Asia/Shanghai
MKC,-05:00,America/Chicago
MKE,-05:00,America/Chicago
MKY,+10:00,Australia/Brisbane
