f_flight_combination,f_departure_airport_code,f_destination_airport_code,f_airline_code,f_currency_code,f_aircraft_code,f_departure_date,f_arrival_date,f_cabin_class,f_trip_type,f_flight_duration,f_total_amount_fare_total
197,SIN,BKK,SQ,SGD,A350-900,2026-07-18T07:50:00,2026-07-18T10:35:00,ECONOMY,O,165,168.50
199,BKK,SIN,SQ,THB,A350-900,2026-07-18T12:30:00,2026-07-18T15:00:00,ECONOMY,O,150,4400.00
201,SIN,BKK,SQ,SGD,B787-10,2026-07-19T08:55:00,2026-07-19T11:40:00,ECONOMY,O,165,168.50
203,BKK,SIN,SQ,THB,B787-10,2026-07-19T13:35:00,2026-07-19T16:05:00,ECONOMY,O,150,4400.00
205,SIN,BKK,SQ,SGD,A350-900,2026-07-20T09:00:00,2026-07-20T11:45:00,ECONOMY,O,165,156.50
207,BKK,SIN,SQ,THB,A350-900,2026-07-20T10:15:00,2026-07-20T12:45:00,ECONOMY,O,150,4220.00
209,SIN,BKK,SQ,SGD,B787-10,2026-07-21T07:05:00,2026-07-21T09:50:00,ECONOMY,O,165,150.50
211,BKK,SIN,SQ,THB,B787-10,2026-07-21T11:20:00,2026-07-21T13:50:00,ECONOMY,O,150,4130.00
213,SIN,BKK,SQ,SGD,A350-900,2026-07-22T08:10:00,2026-07-22T10:55:00,ECONOMY,O,165,150.50
215,BKK,SIN,SQ,THB,A350-900,2026-07-22T12:25:00,2026-07-22T14:55:00,ECONOMY,O,150,4130.00
217,SIN,BKK,SQ,SGD,B787-10,2026-07-23T09:15:00,2026-07-23T12:00:00,ECONOMY,O,165,156.50
219,BKK,SIN,SQ,THB,B787-10,2026-07-23T13:30:00,2026-07-23T16:00:00,ECONOMY,O,150,4220.00
221,SIN,BKK,SQ,SGD,A350-900,2026-07-24T07:50:00,2026-07-24T10:35:00,ECONOMY,O,165,168.50
223,BKK,SIN,SQ,THB,A350-900,2026-07-24T10:35:00,2026-07-24T13:05:00,ECONOMY,O,150,4400.00
225,SIN,BKK,SQ,SGD,B787-10,2026-07-25T08:55:00,2026-07-25T11:40:00,ECONOMY,O,165,168.50
227,BKK,SIN,SQ,THB,B787-10,2026-07-25T11:15:00,2026-07-25T13:45:00,ECONOMY,O,150,4400.00
229,SIN,BKK,SQ,SGD,A350-900,2026-07-26T09:00:00,2026-07-26T11:45:00,ECONOMY,O,165,168.50
231,BKK,SIN,SQ,THB,A350-900,2026-07-26T12:20:00,2026-07-26T14:50:00,ECONOMY,O,150,4400.00
233,SIN,BKK,SQ,SGD,B787-10,2026-07-27T07:05:00,2026-07-27T09:50:00,ECONOMY,O,165,156.50
235,BKK,SIN,SQ,THB,B787-10,2026-07-27T13:25:00,2026-07-27T15:55:00,ECONOMY,O,150,4220.00
237,SIN,BKK,SQ,SGD,A350-900,2026-07-28T08:10:00,2026-07-28T10:55:00,ECONOMY,O,165,150.50
239,BKK,SIN,SQ,THB,A350-900,2026-07-28T10:30:00,2026-07-28T13:00:00,ECONOMY,O,150,4130.00
241,SIN,BKK,SQ,SGD,B787-10,2026-07-29T09:15:00,2026-07-29T12:00:00,ECONOMY,O,165,150.50
243,BKK,SIN,SQ,THB,B787-10,2026-07-29T11:35:00,2026-07-29T14:05:00,ECONOMY,O,150,4130.00
245,SIN,BKK,SQ,SGD,A350-900,2026-07-30T07:50:00,2026-07-30T10:35:00,ECONOMY,O,165,156.50
247,BKK,SIN,SQ,THB,A350-900,2026-07-30T12:15:00,2026-07-30T14:45:00,ECONOMY,O,150,4220.00
249,SIN,BKK,SQ,SGD,B787-10,2026-07-31T08:55:00,2026-07-31T11:40:00,ECONOMY,O,165,168.50
251,BKK,SIN,SQ,THB,B787-10,2026-07-31T13:20:00,2026-07-31T15:50:00,ECONOMY,O,150,4400.00
253,SIN,BKK,SQ,SGD,B787-10,2026-08-01T08:55:00,2026-08-01T11:40:00,ECONOMY,O,165,168.50
255,BKK,SIN,SQ,THB,B787-10,2026-08-01T11:20:00,2026-08-01T13:50:00,ECONOMY,O,150,4220.00
257,SIN,BKK,SQ,SGD,A350-900,2026-08-02T09:00:00,2026-08-02T11:45:00,ECONOMY,O,165,168.50
259,BKK,SIN,SQ,THB,A350-900,2026-08-02T12:25:00,2026-08-02T14:55:00,ECONOMY,O,150,4220.00
261,SIN,BKK,SQ,SGD,B787-10,2026-08-03T07:05:00,2026-08-03T09:50:00,ECONOMY,O,165,156.50
263,BKK,SIN,SQ,THB,B787-10,2026-08-03T13:30:00,2026-08-03T16:00:00,ECONOMY,O,150,4040.00
265,SIN,BKK,SQ,SGD,A350-900,2026-08-04T08:10:00,2026-08-04T10:55:00,ECONOMY,O,165,150.50
267,BKK,SIN,SQ,THB,A350-900,2026-08-04T10:35:00,2026-08-04T13:05:00,ECONOMY,O,150,3950.00
269,SIN,BKK,SQ,SGD,B787-10,2026-08-05T09:15:00,2026-08-05T12:00:00,ECONOMY,O,165,150.50
271,BKK,SIN,SQ,THB,B787-10,2026-08-05T11:15:00,2026-08-05T13:45:00,ECONOMY,O,150,3950.00
273,SIN,BKK,SQ,SGD,A350-900,2026-08-06T07:50:00,2026-08-06T10:35:00,ECONOMY,O,165,156.50
275,BKK,SIN,SQ,THB,A350-900,2026-08-06T12:20:00,2026-08-06T14:50:00,ECONOMY,O,150,4040.00
277,SIN,BKK,SQ,SGD,B787-10,2026-08-07T08:55:00,2026-08-07T11:40:00,ECONOMY,O,165,168.50
279,BKK,SIN,SQ,THB,B787-10,2026-08-07T13:25:00,2026-08-07T15:55:00,ECONOMY,O,150,4220.00
281,SIN,BKK,SQ,SGD,A350-900,2026-08-08T09:00:00,2026-08-08T11:45:00,ECONOMY,O,165,168.50
283,BKK,SIN,SQ,THB,A350-900,2026-08-08T10:30:00,2026-08-08T13:00:00,ECONOMY,O,150,4220.00
285,SIN,BKK,SQ,SGD,B787-10,2026-08-09T07:05:00,2026-08-09T09:50:00,ECONOMY,O,165,168.50
287,BKK,SIN,SQ,THB,B787-10,2026-08-09T11:35:00,2026-08-09T14:05:00,ECONOMY,O,150,4220.00
289,SIN,BKK,SQ,SGD,A350-900,2026-08-10T08:10:00,2026-08-10T10:55:00,ECONOMY,O,165,156.50
291,BKK,SIN,SQ,THB,A350-900,2026-08-10T12:15:00,2026-08-10T14:45:00,ECONOMY,O,150,4040.00
293,SIN,BKK,SQ,SGD,B787-10,2026-08-11T09:15:00,2026-08-11T12:00:00,ECONOMY,O,165,150.50
295,BKK,SIN,SQ,THB,B787-10,2026-08-11T13:20:00,2026-08-11T15:50:00,ECONOMY,O,150,3950.00
297,SIN,BKK,SQ,SGD,A350-900,2026-08-12T07:50:00,2026-08-12T10:35:00,ECONOMY,O,165,150.50
299,BKK,SIN,SQ,THB,A350-900,2026-08-12T10:25:00,2026-08-12T12:55:00,ECONOMY,O,150,3950.00
301,SIN,BKK,SQ,SGD,B787-10,2026-08-13T08:55:00,2026-08-13T11:40:00,ECONOMY,O,165,156.50
303,BKK,SIN,SQ,THB,B787-10,2026-08-13T11:30:00,2026-08-13T14:00:00,ECONOMY,O,150,4040.00
305,SIN,BKK,SQ,SGD,A350-900,2026-08-14T09:00:00,2026-08-14T11:45:00,ECONOMY,O,165,168.50
307,BKK,SIN,SQ,THB,A350-900,2026-08-14T12:35:00,2026-08-14T15:05:00,ECONOMY,O,150,4220.00
309,SIN,BKK,SQ,SGD,B787-10,2026-08-15T07:05:00,2026-08-15T09:50:00,ECONOMY,O,165,168.50
311,BKK,SIN,SQ,THB,B787-10,2026-08-15T13:15:00,2026-08-15T15:45:00,ECONOMY,O,150,4220.00
313,SIN,BKK,SQ,SGD,A350-900,2026-08-16T08:10:00,2026-08-16T10:55:00,ECONOMY,O,165,168.50
315,BKK,SIN,SQ,THB,A350-900,2026-08-16T10:20:00,2026-08-16T12:50:00,ECONOMY,O,150,4220.00
317,SIN,BKK,SQ,SGD,B787-10,2026-08-17T09:15:00,2026-08-17T12:00:00,ECONOMY,O,165,156.50
319,BKK,SIN,SQ,THB,B787-10,2026-08-17T11:25:00,2026-08-17T13:55:00,ECONOMY,O,150,4040.00
321,SIN,BKK,SQ,SGD,A350-900,2026-08-18T07:50:00,2026-08-18T10:35:00,ECONOMY,O,165,150.50
323,BKK,SIN,SQ,THB,A350-900,2026-08-18T12:30:00,2026-08-18T15:00:00,ECONOMY,O,150,3950.00
325,SIN,BKK,SQ,SGD,B787-10,2026-08-19T08:55:00,2026-08-19T11:40:00,ECONOMY,O,165,150.50
327,BKK,SIN,SQ,THB,B787-10,2026-08-19T13:35:00,2026-08-19T16:05:00,ECONOMY,O,150,3950.00
329,SIN,BKK,SQ,SGD,A350-900,2026-08-20T09:00:00,2026-08-20T11:45:00,ECONOMY,O,165,156.50
331,BKK,SIN,SQ,THB,A350-900,2026-08-20T10:15:00,2026-08-20T12:45:00,ECONOMY,O,150,4040.00
333,SIN,BKK,SQ,SGD,B787-10,2026-08-21T07:05:00,2026-08-21T09:50:00,ECONOMY,O,165,168.50
335,BKK,SIN,SQ,THB,B787-10,2026-08-21T11:20:00,2026-08-21T13:50:00,ECONOMY,O,150,4220.00
337,SIN,BKK,SQ,SGD,A350-900,2026-08-22T08:10:00,2026-08-22T10:55:00,ECONOMY,O,165,168.50
339,BKK,SIN,SQ,THB,A350-900,2026-08-22T12:25:00,2026-08-22T14:55:00,ECONOMY,O,150,4220.00
341,SIN,BKK,SQ,SGD,B787-10,2026-08-23T09:15:00,2026-08-23T12:00:00,ECONOMY,O,165,168.50
343,BKK,SIN,SQ,THB,B787-10,2026-08-23T13:30:00,2026-08-23T16:00:00,ECONOMY,O,150,4220.00
345,SIN,BKK,SQ,SGD,A350-900,2026-08-24T07:50:00,2026-08-24T10:35:00,ECONOMY,O,165,156.50
347,BKK,SIN,SQ,THB,A350-900,2026-08-24T10:35:00,2026-08-24T13:05:00,ECONOMY,O,150,4040.00
349,SIN,BKK,SQ,SGD,B787-10,2026-08-25T08:55:00,2026-08-25T11:40:00,ECONOMY,O,165,150.50
351,BKK,SIN,SQ,THB,B787-10,2026-08-25T11:15:00,2026-08-25T13:45:00,ECONOMY,O,150,3950.00
353,SIN,BKK,SQ,SGD,A350-900,2026-08-26T09:00:00,2026-08-26T11:45:00,ECONOMY,O,165,150.50
355,BKK,SIN,SQ,THB,A350-900,2026-08-26T12:20:00,2026-08-26T14:50:00,ECONOMY,O,150,3950.00
357,SIN,BKK,SQ,SGD,B787-10,2026-08-27T07:05:00,2026-08-27T09:50:00,ECONOMY,O,165,156.50
359,BKK,SIN,SQ,THB,B787-10,2026-08-27T13:25:00,2026-08-27T15:55:00,ECONOMY,O,150,4040.00
361,SIN,BKK,SQ,SGD,A350-900,2026-08-28T08:10:00,2026-08-28T10:55:00,ECONOMY,O,165,168.50
363,BKK,SIN,SQ,THB,A350-900,2026-08-28T10:30:00,2026-08-28T13:00:00,ECONOMY,O,150,4220.00
365,SIN,BKK,SQ,SGD,B787-10,2026-08-29T09:15:00,2026-08-29T12:00:00,ECONOMY,O,165,168.50
367,BKK,SIN,SQ,THB,B787-10,2026-08-29T11:35:00,2026-08-29T14:05:00,ECONOMY,O,150,4220.00
368,SIN,HKG,SQ,SGD,A350-900,2026-05-30T08:50:00,2026-05-30T13:10:00,ECONOMY,O,260,186.50
369,HKG,SIN,SQ,HKD,A350-900,2026-05-30T14:15:00,2026-05-30T18:20:00,ECONOMY,O,245,1146.95
370,SIN,LHR,SQ,SGD,A380-800,2026-05-30T23:50:00,2026-05-31T14:45:00,ECONOMY,O,895,545.50
371,LHR,SIN,SQ,GBP,A380-800,2026-05-30T13:15:00,2026-05-31T02:55:00,ECONOMY,O,820,318.38
372,SIN,SUB,SQ,SGD,B787-10,2026-05-30T08:50:00,2026-05-30T11:20:00,ECONOMY,O,150,142.50
373,SUB,SIN,SQ,IDR,B787-10,2026-05-30T15:15:00,2026-05-30T17:40:00,ECONOMY,O,145,1911529.86
374,SIN,SGN,SQ,SGD,B787-10,2026-05-30T09:50:00,2026-05-30T12:05:00,ECONOMY,O,135,123.00
375,SGN,SIN,SQ,VND,B787-10,2026-05-30T16:15:00,2026-05-30T18:20:00,ECONOMY,O,125,2485613.06
378,SIN,HKG,SQ,SGD,A380-800,2026-05-31T09:55:00,2026-05-31T14:15:00,ECONOMY,O,260,186.50
379,HKG,SIN,SQ,HKD,A380-800,2026-05-31T15:20:00,2026-05-31T19:25:00,ECONOMY,O,245,1146.95
380,SIN,LHR,SQ,SGD,A350-900,2026-05-31T00:55:00,2026-05-31T15:50:00,ECONOMY,O,895,545.50
381,LHR,SIN,SQ,GBP,A350-900,2026-05-31T14:20:00,2026-06-01T04:00:00,ECONOMY,O,820,318.38
382,SIN,SUB,SQ,SGD,B787-10,2026-05-31T09:55:00,2026-05-31T12:25:00,ECONOMY,O,150,142.50
383,SUB,SIN,SQ,IDR,B787-10,2026-05-31T16:20:00,2026-05-31T18:45:00,ECONOMY,O,145,1911529.86
384,SIN,SGN,SQ,SGD,B787-10,2026-05-31T10:55:00,2026-05-31T13:10:00,ECONOMY,O,135,123.00
385,SGN,SIN,SQ,VND,B787-10,2026-05-31T17:20:00,2026-05-31T19:25:00,ECONOMY,O,125,2485613.06
388,SIN,HKG,SQ,SGD,A380-800,2026-06-01T09:55:00,2026-06-01T14:15:00,ECONOMY,O,260,149.50
389,HKG,SIN,SQ,HKD,A380-800,2026-06-01T13:20:00,2026-06-01T17:25:00,ECONOMY,O,245,919.41
390,SIN,LHR,SQ,SGD,A350-900,2026-06-01T00:55:00,2026-06-01T15:50:00,ECONOMY,O,895,550.50
391,LHR,SIN,SQ,GBP,A350-900,2026-06-01T12:20:00,2026-06-02T02:00:00,ECONOMY,O,820,321.30
392,SIN,SUB,SQ,SGD,B787-10,2026-06-01T09:55:00,2026-06-01T12:25:00,ECONOMY,O,150,132.50
393,SUB,SIN,SQ,IDR,B787-10,2026-06-01T14:20:00,2026-06-01T16:45:00,ECONOMY,O,145,1777387.41
394,SIN,SGN,SQ,SGD,B787-10,2026-06-01T10:55:00,2026-06-01T13:10:00,ECONOMY,O,135,115.00
395,SGN,SIN,SQ,VND,B787-10,2026-06-01T15:20:00,2026-06-01T17:25:00,ECONOMY,O,125,2323947.17
398,SIN,HKG,SQ,SGD,A350-900,2026-06-02T10:00:00,2026-06-02T14:20:00,ECONOMY,O,260,143.50
399,HKG,SIN,SQ,HKD,A350-900,2026-06-02T14:25:00,2026-06-02T18:30:00,ECONOMY,O,245,882.51
400,SIN,LHR,SQ,SGD,B777-300ER,2026-06-02T01:00:00,2026-06-02T15:55:00,ECONOMY,O,895,528.50
401,LHR,SIN,SQ,GBP,B777-300ER,2026-06-02T13:25:00,2026-06-03T03:05:00,ECONOMY,O,820,308.46
402,SIN,SUB,SQ,SGD,B787-10,2026-06-02T10:00:00,2026-06-02T12:30:00,ECONOMY,O,150,128.50
403,SUB,SIN,SQ,IDR,B787-10,2026-06-02T15:25:00,2026-06-02T17:50:00,ECONOMY,O,145,1723730.43
404,SIN,SGN,SQ,SGD,B787-10,2026-06-02T11:00:00,2026-06-02T13:15:00,ECONOMY,O,135,112.00
