f_city_code,f_country_code,f_continent,f_region,f_capital_city_code,f_cost_of_living_index
MEL,AU,Oceania,Australia and New Zealand,CBR,77.0
MIL,IT,Europe,Southern Europe,ROM,76.3
CGO,CN,Asia,East Asia,BJS,30.5
KHN,CN,Asia,East Asia,BJS,30.5
NNG,CN,Asia,East Asia,BJS,30.5
TNA,CN,Asia,East Asia,BJS,30.5
TAO,CN,Asia,East Asia,BJS,29.9
DRW,AU,Oceania,Australia and New Zealand,CBR,67.9
BPN,ID,Asia,Southeast Asia,JKT,26.1
UPG,ID,Asia,Southeast Asia,JKT,26.1
HKT,TH,Asia,Southeast Asia,BKK,42.6
SFO,US,North America,North America,WAS,96.2
FOC,CN,Asia,East Asia,BJS,30.5
NGB,CN,Asia,East Asia,BJS,30.5
BRS,GB,Europe,Northern Europe,LON,71.9
CWL,GB,Europe,Northern Europe,LON,66.9
OXF,GB,Europe,Northern Europe,LON,76.1
OKA,JP,Asia,East Asia,TYO,47.5
SWA,CN,Asia,East Asia,BJS,30.5
HGH,CN,Asia,East Asia,BJS,35.9
PSR,IT,Europe,Southern Europe,ROM,61.4
TPS,IT,Europe,Southern Europe,ROM,61.4
JOG,ID,Asia,Southeast Asia,JKT,26.1
OLB,IT,Europe,Southern Europe,ROM,61.4
AHO,IT,Europe,Southern Europe,ROM,61.4
CJB,IN,Asia,South Asia,DEL,16.7
VTZ,IN,Asia,South Asia,DEL,18.9
MYY,MY,Asia,Southeast Asia,KUL,34.0
CTU,CN,Asia,East Asia,BJS,28.3
AOR,MY,Asia,Southeast Asia,KUL,34.0
JHB,MY,Asia,Southeast Asia,KUL,34.0
TGG,MY,Asia,Southeast Asia,KUL,34.0
BTU,MY,Asia,Southeast Asia,KUL,34.0
SBW,MY,Asia,Southeast Asia,KUL,34.0
LBU,MY,Asia,Southeast Asia,KUL,34.0
SDK,MY,Asia,Southeast Asia,KUL,34.0
TWU,MY,Asia,Southeast Asia,KUL,34.0
MKZ,MY,Asia,Southeast Asia,KUL,34.0
LYS,FR,Europe,Western Europe,PAR,73.0
SXB,FR,Europe,Western Europe,PAR,73.4
LIL,FR,Europe,Western Europe,PAR,66.4
NTE,FR,Europe,Western Europe,PAR,67.7
MRS,FR,Europe,Western Europe,PAR,74.6
KJT,ID,Asia,Southeast Asia,JKT,26.1
BLQ,IT,Europe,Southern Europe,ROM,68.8
FLR,IT,Europe,Southern Europe,ROM,71.4
NAP,IT,Europe,Southern Europe,ROM,60.6
PSA,IT,Europe,Southern Europe,ROM,86.5
VRN,IT,Europe,Southern Europe,ROM,67.1
PDG,ID,Asia,Southeast Asia,JKT,26.1
PQC,VN,Asia,Southeast Asia,HAN,26.4
ILO,PH,Asia,Southeast Asia,MNL,30.1
LBJ,ID,Asia,Southeast Asia,JKT,26.1
KBR,MY,Asia,Southeast Asia,KUL,34.0
DAD,VN,Asia,Southeast Asia,HAN,26.5
CEI,TH,Asia,Southeast Asia,BKK,38.0
EXT,GB,Europe,Northern Europe,LON,67.8
