f_city_code,f_travel_style
AKL,city_break
AKL,nature_getaway
AKL,outdoors
AKL,family_friendly
CHC,nature_getaway
CHC,outdoors
CHC,adventure
CHC,scenic
RGN,cultural_heritage
RGN,city_break
RGN,foodie
RGN,spiritual
CPH,city_break
CPH,foodie
CPH,design
CPH,family_friendly
JNB,city_break
JNB,foodie
JNB,shopping
BKI,nature_getaway
BKI,beach_escape
BKI,diving
BKI,relaxation
REP,cultural_heritage
REP,temple_trip
REP,budget_friendly
REP,romantic
JED,cultural_heritage
JED,spiritual
JED,city_break
HAK,beach_escape
HAK,relaxation
HAK,resort
HDY,foodie
HDY,beach_escape
HDY,local_culture
CNS,nature_getaway
CNS,adventure
CNS,reef_diving
CNS,beach_escape
ATQ,spiritual
ATQ,cultural_heritage
ATQ,foodie
IPH,foodie
IPH,relaxation
IPH,city_break
KBV,beach_escape
KBV,island_escape
KBV,romantic
KBV,adventure
KUA,beach_escape
KUA,relaxation
KUA,nature_getaway
NKG,cultural_heritage
NKG,city_break
NKG,foodie
OOL,beach_escape
OOL,family_friendly
OOL,relaxation
OOL,theme_parks
MFM,cultural_heritage
MFM,luxury
MFM,foodie
MFM,nightlife
SHE,cultural_heritage
SHE,city_break
SHE,winter_trip
SRG,foodie
SRG,cultural_heritage
SRG,city_break
PUS,beach_escape
PUS,city_break
PUS,foodie
PUS,festival_trip
TSN,city_break
TSN,cultural_heritage
TSN,foodie
CRK,nightlife
CRK,budget_friendly
CRK,adventure
WUH,city_break
WUH,foodie
WUH,cultural_heritage
BER,city_break
BER,nightlife
BER,history
BER,arts_culture
MAA,foodie
MAA,city_break
MAA,cultural_heritage
MAA,beach_escape
TRZ,temple_trip
TRZ,cultural_heritage
TRZ,foodie
BDO,shopping
BDO,foodie
BDO,nature_getaway
VTE,cultural_heritage
VTE,relaxation
VTE,foodie
CJU,beach_escape
CJU,nature_getaway
CJU,romantic
CJU,hiking
MUC,city_break
MUC,cultural_heritage
MUC,beer_trip
MUC,luxury
INN,mountain_escape
INN,ski_trip
INN,scenic
ZRH,luxury
ZRH,city_break
ZRH,scenic
MDL,cultural_heritage
MDL,foodie
MDL,city_break
AMS,city_break
AMS,nightlife
AMS,arts_culture
AMS,romantic
PER,beach_escape
PER,city_break
PER,outdoors
PER,relaxation
MEL,city_break
MEL,foodie
MEL,arts_culture
MEL,coffee_culture
CGO,cultural_heritage
CGO,city_break
CGO,foodie
KHN,city_break
KHN,cultural_heritage
KHN,foodie
NNG,city_break
NNG,foodie
NNG,cultural_heritage
TNA,cultural_heritage
TNA,city_break
TNA,foodie
TAO,beach_escape
TAO,beer_trip
TAO,city_break
DRW,nature_getaway
DRW,adventure
DRW,outdoors
BPN,beach_escape
BPN,nature_getaway
BPN,diving
UPG,foodie
UPG,cultural_heritage
UPG,city_break
HKT,beach_escape
HKT,nightlife
HKT,romantic
HKT,island_escape
SFO,city_break
SFO,foodie
SFO,arts_culture
SFO,lgbtq_friendly
FOC,cultural_heritage
FOC,foodie
FOC,city_break
NGB,city_break
NGB,foodie
NGB,shopping
BRS,city_break
BRS,arts_culture
BRS,foodie
CWL,city_break
CWL,cultural_heritage
CWL,relaxation
OKA,beach_escape
OKA,island_escape
OKA,relaxation
SWA,foodie
SWA,cultural_heritage
SWA,city_break
HGH,city_break
HGH,scenic
HGH,foodie
PSR,beach_escape
PSR,relaxation
PSR,city_break
TPS,beach_escape
TPS,foodie
TPS,relaxation
OLB,beach_escape
OLB,luxury
OLB,romantic
AHO,beach_escape
AHO,relaxation
AHO,scenic
CJB,foodie
CJB,temple_trip
CJB,city_break
VTZ,beach_escape
VTZ,foodie
VTZ,city_break
MYY,nature_getaway
MYY,relaxation
MYY,foodie
AOR,foodie
AOR,relaxation
AOR,city_break
JHB,shopping
JHB,city_break
JHB,family_friendly
TGG,beach_escape
TGG,relaxation
TGG,nature_getaway
BTU,nature_getaway
BTU,relaxation
BTU,river_escape
SBW,nature_getaway
SBW,cultural_heritage
SBW,relaxation
LBU,island_escape
LBU,beach_escape
LBU,relaxation
SDK,nature_getaway
SDK,wildlife
SDK,adventure
TWU,diving
TWU,nature_getaway
TWU,island_escape
MKZ,cultural_heritage
MKZ,foodie
MKZ,romantic
KJT,nature_getaway
KJT,cultural_heritage
KJT,relaxation
PDG,foodie
PDG,beach_escape
PDG,nature_getaway
PQC,island_escape
PQC,beach_escape
PQC,relaxation
ILO,foodie
ILO,city_break
ILO,beach_escape
LBJ,island_escape
LBJ,diving
LBJ,adventure
LBJ,luxury
KBR,foodie
KBR,cultural_heritage
KBR,city_break
DAD,beach_escape
DAD,foodie
DAD,city_break
DAD,relaxation
CEI,nature_getaway
CEI,cultural_heritage
CEI,adventure
SIN,city_break
SIN,foodie
SIN,shopping
SIN,family_friendly
SIN,luxury
AMI,beach_escape
AMI,island_escape
AMI,relaxation
AMI,nature_getaway
AMI,diving
BJS,city_break
BJS,cultural_heritage
BJS,foodie
BJS,history
BJS,shopping
CTU,city_break
CTU,foodie
CTU,cultural_heritage
CTU,nature_getaway
CTU,relaxation
JKT,city_break
JKT,foodie
JKT,shopping
JKT,nightlife
JKT,budget_friendly
JOG,cultural_heritage
JOG,temple_trip
JOG,foodie
JOG,budget_friendly
JOG,arts_culture
LON,city_break
LON,cultural_heritage
LON,arts_culture
LON,shopping
LON,nightlife
LON,family_friendly
MES,foodie
MES,cultural_heritage
MES,city_break
MES,budget_friendly
MES,nature_getaway
MIL,city_break
MIL,shopping
MIL,design
MIL,foodie
MIL,luxury
MOW,city_break
MOW,cultural_heritage
MOW,history
MOW,winter_trip
MOW,arts_culture
NYC,city_break
NYC,foodie
NYC,shopping
NYC,nightlife
NYC,arts_culture
NYC,family_friendly
OSA,city_break
OSA,foodie
OSA,shopping
OSA,nightlife
OSA,family_friendly
PAR,city_break
PAR,cultural_heritage
PAR,romantic
PAR,foodie
PAR,shopping
PAR,arts_culture
ROM,cultural_heritage
ROM,city_break
ROM,foodie
ROM,romantic
ROM,history
SEL,city_break
SEL,foodie
SEL,shopping
SEL,nightlife
SEL,cultural_heritage
SHA,city_break
SHA,foodie
SHA,shopping
SHA,nightlife
SHA,architecture
SIA,cultural_heritage
SIA,foodie
SIA,history
SIA,city_break
SIA,budget_friendly
SPK,winter_trip
SPK,foodie
SPK,nature_getaway
SPK,scenic
SPK,beer_trip
TYO,city_break
TYO,foodie
TYO,shopping
TYO,cultural_heritage
TYO,family_friendly
TYO,nightlife
