f_departure_airport_code,f_destination_airport_code,f_airline_code,f_currency_code,f_aircraft_code,f_departure_date,f_arrival_date,f_cabin_class,f_trip_type,f_flight_duration,f_total_amount_fare_total,f_num_of_last_seats
SIN,BKK,SQ,SGD,A350-900,2026-06-08T09:00:00,2026-06-08T11:45:00,ECONOMY,O,165,156.5,161
BKK,SIN,SQ,THB,A350-900,2026-06-08T10:30:00,2026-06-08T13:00:00,ECONOMY,O,150,4040.0,140
SIN,BKK,SQ,SGD,B787-10,2026-06-09T07:05:00,2026-06-09T09:50:00,ECONOMY,O,165,150.5,159
BKK,SIN,SQ,THB,B787-10,2026-06-09T11:35:00,2026-06-09T14:05:00,ECONOMY,O,150,3950.0,318
SIN,BKK,SQ,SGD,A350-900,2026-06-10T08:10:00,2026-06-10T10:55:00,ECONOMY,O,165,150.5,267
BKK,SIN,SQ,THB,A350-900,2026-06-10T12:15:00,2026-06-10T14:45:00,ECONOMY,O,150,3950.0,353
SIN,BKK,SQ,SGD,B787-10,2026-06-11T09:15:00,2026-06-11T12:00:00,ECONOMY,O,165,156.5,423
BKK,SIN,SQ,THB,B787-10,2026-06-11T13:20:00,2026-06-11T15:50:00,ECONOMY,O,150,4040.0,303
SIN,BKK,SQ,SGD,A350-900,2026-06-12T07:50:00,2026-06-12T10:35:00,ECONOMY,O,165,168.5,395
BKK,SIN,SQ,THB,A350-900,2026-06-12T10:25:00,2026-06-12T12:55:00,ECONOMY,O,150,4220.0,201
SIN,BKK,SQ,SGD,B787-10,2026-06-13T08:55:00,2026-06-13T11:40:00,ECONOMY,O,165,168.5,453
BKK,SIN,SQ,THB,B787-10,2026-06-13T11:30:00,2026-06-13T14:00:00,ECONOMY,O,150,4220.0,286
SIN,BKK,SQ,SGD,A350-900,2026-06-14T09:00:00,2026-06-14T11:45:00,ECONOMY,O,165,168.5,170
BKK,SIN,SQ,THB,A350-900,2026-06-14T12:35:00,2026-06-14T15:05:00,ECONOMY,O,150,4220.0,469
SIN,BKK,SQ,SGD,B787-10,2026-06-15T07:05:00,2026-06-15T09:50:00,ECONOMY,O,165,156.5,323
BKK,SIN,SQ,THB,B787-10,2026-06-15T13:15:00,2026-06-15T15:45:00,ECONOMY,O,150,4040.0,31
SIN,BKK,SQ,SGD,A350-900,2026-06-16T08:10:00,2026-06-16T10:55:00,ECONOMY,O,165,150.5,262
BKK,SIN,SQ,THB,A350-900,2026-06-16T10:20:00,2026-06-16T12:50:00,ECONOMY,O,150,3950.0,245
SIN,BKK,SQ,SGD,B787-10,2026-06-17T09:15:00,2026-06-17T12:00:00,ECONOMY,O,165,150.5,354
BKK,SIN,SQ,THB,B787-10,2026-06-17T11:25:00,2026-06-17T13:55:00,ECONOMY,O,150,3950.0,58
SIN,BKK,SQ,SGD,A350-900,2026-06-18T07:50:00,2026-06-18T10:35:00,ECONOMY,O,165,156.5,484
BKK,SIN,SQ,THB,A350-900,2026-06-18T12:30:00,2026-06-18T15:00:00,ECONOMY,O,150,4040.0,68
SIN,BKK,SQ,SGD,B787-10,2026-06-19T08:55:00,2026-06-19T11:40:00,ECONOMY,O,165,168.5,179
BKK,SIN,SQ,THB,B787-10,2026-06-19T13:35:00,2026-06-19T16:05:00,ECONOMY,O,150,4220.0,485
SIN,BKK,SQ,SGD,A350-900,2026-06-20T09:00:00,2026-06-20T11:45:00,ECONOMY,O,165,168.5,197
BKK,SIN,SQ,THB,A350-900,2026-06-20T10:15:00,2026-06-20T12:45:00,ECONOMY,O,150,4220.0,473
SIN,BKK,SQ,SGD,B787-10,2026-06-21T07:05:00,2026-06-21T09:50:00,ECONOMY,O,165,168.5,280
BKK,SIN,SQ,THB,B787-10,2026-06-21T11:20:00,2026-06-21T13:50:00,ECONOMY,O,150,4220.0,199
SIN,BKK,SQ,SGD,A350-900,2026-06-22T08:10:00,2026-06-22T10:55:00,ECONOMY,O,165,156.5,455
BKK,SIN,SQ,THB,A350-900,2026-06-22T12:25:00,2026-06-22T14:55:00,ECONOMY,O,150,4040.0,184
SIN,BKK,SQ,SGD,B787-10,2026-06-23T09:15:00,2026-06-23T12:00:00,ECONOMY,O,165,150.5,455
BKK,SIN,SQ,THB,B787-10,2026-06-23T13:30:00,2026-06-23T16:00:00,ECONOMY,O,150,3950.0,60
SIN,BKK,SQ,SGD,A350-900,2026-06-24T07:50:00,2026-06-24T10:35:00,ECONOMY,O,165,150.5,373
BKK,SIN,SQ,THB,A350-900,2026-06-24T10:35:00,2026-06-24T13:05:00,ECONOMY,O,150,3950.0,64
SIN,BKK,SQ,SGD,B787-10,2026-06-25T08:55:00,2026-06-25T11:40:00,ECONOMY,O,165,156.5,253
BKK,SIN,SQ,THB,B787-10,2026-06-25T11:15:00,2026-06-25T13:45:00,ECONOMY,O,150,4040.0,329
SIN,BKK,SQ,SGD,A350-900,2026-06-26T09:00:00,2026-06-26T11:45:00,ECONOMY,O,165,168.5,140
BKK,SIN,SQ,THB,A350-900,2026-06-26T12:20:00,2026-06-26T14:50:00,ECONOMY,O,150,4220.0,494
SIN,BKK,SQ,SGD,B787-10,2026-06-27T07:05:00,2026-06-27T09:50:00,ECONOMY,O,165,168.5,316
BKK,SIN,SQ,THB,B787-10,2026-06-27T13:25:00,2026-06-27T15:55:00,ECONOMY,O,150,4220.0,144
SIN,BKK,SQ,SGD,A350-900,2026-06-28T08:10:00,2026-06-28T10:55:00,ECONOMY,O,165,168.5,30
BKK,SIN,SQ,THB,A350-900,2026-06-28T10:30:00,2026-06-28T13:00:00,ECONOMY,O,150,4220.0,338
SIN,BKK,SQ,SGD,B787-10,2026-06-29T09:15:00,2026-06-29T12:00:00,ECONOMY,O,165,156.5,176
BKK,SIN,SQ,THB,B787-10,2026-06-29T11:35:00,2026-06-29T14:05:00,ECONOMY,O,150,4040.0,283
SIN,BKK,SQ,SGD,A350-900,2026-06-30T07:50:00,2026-06-30T10:35:00,ECONOMY,O,165,150.5,397
BKK,SIN,SQ,THB,A350-900,2026-06-30T12:15:00,2026-06-30T14:45:00,ECONOMY,O,150,3950.0,98
SIN,BKK,SQ,SGD,B787-10,2026-07-01T08:55:00,2026-07-01T11:40:00,ECONOMY,O,165,150.5,325
BKK,SIN,SQ,THB,B787-10,2026-07-01T11:20:00,2026-07-01T13:50:00,ECONOMY,O,150,4130.0,23
SIN,BKK,SQ,SGD,A350-900,2026-07-02T09:00:00,2026-07-02T11:45:00,ECONOMY,O,165,156.5,251
BKK,SIN,SQ,THB,A350-900,2026-07-02T12:25:00,2026-07-02T14:55:00,ECONOMY,O,150,4220.0,274
SIN,BKK,SQ,SGD,B787-10,2026-07-03T07:05:00,2026-07-03T09:50:00,ECONOMY,O,165,168.5,355
BKK,SIN,SQ,THB,B787-10,2026-07-03T13:30:00,2026-07-03T16:00:00,ECONOMY,O,150,4400.0,62
SIN,BKK,SQ,SGD,A350-900,2026-07-04T08:10:00,2026-07-04T10:55:00,ECONOMY,O,165,168.5,395
BKK,SIN,SQ,THB,A350-900,2026-07-04T10:35:00,2026-07-04T13:05:00,ECONOMY,O,150,4400.0,349
SIN,BKK,SQ,SGD,B787-10,2026-07-05T09:15:00,2026-07-05T12:00:00,ECONOMY,O,165,168.5,101
BKK,SIN,SQ,THB,B787-10,2026-07-05T11:15:00,2026-07-05T13:45:00,ECONOMY,O,150,4400.0,376
SIN,BKK,SQ,SGD,A350-900,2026-07-06T07:50:00,2026-07-06T10:35:00,ECONOMY,O,165,156.5,453
BKK,SIN,SQ,THB,A350-900,2026-07-06T12:20:00,2026-07-06T14:50:00,ECONOMY,O,150,4220.0,464
SIN,BKK,SQ,SGD,B787-10,2026-07-07T08:55:00,2026-07-07T11:40:00,ECONOMY,O,165,150.5,437
BKK,SIN,SQ,THB,B787-10,2026-07-07T13:25:00,2026-07-07T15:55:00,ECONOMY,O,150,4130.0,273
SIN,BKK,SQ,SGD,A350-900,2026-07-08T09:00:00,2026-07-08T11:45:00,ECONOMY,O,165,150.5,440
BKK,SIN,SQ,THB,A350-900,2026-07-08T10:30:00,2026-07-08T13:00:00,ECONOMY,O,150,4130.0,44
SIN,BKK,SQ,SGD,B787-10,2026-07-09T07:05:00,2026-07-09T09:50:00,ECONOMY,O,165,156.5,215
BKK,SIN,SQ,THB,B787-10,2026-07-09T11:35:00,2026-07-09T14:05:00,ECONOMY,O,150,4220.0,90
SIN,BKK,SQ,SGD,A350-900,2026-07-10T08:10:00,2026-07-10T10:55:00,ECONOMY,O,165,168.5,429
BKK,SIN,SQ,THB,A350-900,2026-07-10T12:15:00,2026-07-10T14:45:00,ECONOMY,O,150,4400.0,59
SIN,BKK,SQ,SGD,B787-10,2026-07-11T09:15:00,2026-07-11T12:00:00,ECONOMY,O,165,168.5,369
BKK,SIN,SQ,THB,B787-10,2026-07-11T13:20:00,2026-07-11T15:50:00,ECONOMY,O,150,4400.0,397
SIN,BKK,SQ,SGD,A350-900,2026-07-12T07:50:00,2026-07-12T10:35:00,ECONOMY,O,165,168.5,11
BKK,SIN,SQ,THB,A350-900,2026-07-12T10:25:00,2026-07-12T12:55:00,ECONOMY,O,150,4400.0,399
SIN,BKK,SQ,SGD,B787-10,2026-07-13T08:55:00,2026-07-13T11:40:00,ECONOMY,O,165,156.5,63
BKK,SIN,SQ,THB,B787-10,2026-07-13T11:30:00,2026-07-13T14:00:00,ECONOMY,O,150,4220.0,115
SIN,BKK,SQ,SGD,A350-900,2026-07-14T09:00:00,2026-07-14T11:45:00,ECONOMY,O,165,150.5,269
BKK,SIN,SQ,THB,A350-900,2026-07-14T12:35:00,2026-07-14T15:05:00,ECONOMY,O,150,4130.0,319
SIN,BKK,SQ,SGD,B787-10,2026-07-15T07:05:00,2026-07-15T09:50:00,ECONOMY,O,165,150.5,486
BKK,SIN,SQ,THB,B787-10,2026-07-15T13:15:00,2026-07-15T15:45:00,ECONOMY,O,150,4130.0,200
SIN,BKK,SQ,SGD,A350-900,2026-07-16T08:10:00,2026-07-16T10:55:00,ECONOMY,O,165,156.5,411
BKK,SIN,SQ,THB,A350-900,2026-07-16T10:20:00,2026-07-16T12:50:00,ECONOMY,O,150,4220.0,227
SIN,BKK,SQ,SGD,B787-10,2026-07-17T09:15:00,2026-07-17T12:00:00,ECONOMY,O,165,168.5,53
BKK,SIN,SQ,THB,B787-10,2026-07-17T11:25:00,2026-07-17T13:55:00,ECONOMY,O,150,4400.0,171
SIN,BKK,SQ,SGD,A350-900,2026-07-18T07:50:00,2026-07-18T10:35:00,ECONOMY,O,165,168.5,211
BKK,SIN,SQ,THB,A350-900,2026-07-18T12:30:00,2026-07-18T15:00:00,ECONOMY,O,150,4400.0,455
SIN,BKK,SQ,SGD,B787-10,2026-07-19T08:55:00,2026-07-19T11:40:00,ECONOMY,O,165,168.5,493
BKK,SIN,SQ,THB,B787-10,2026-07-19T13:35:00,2026-07-19T16:05:00,ECONOMY,O,150,4400.0,279
SIN,BKK,SQ,SGD,A350-900,2026-07-20T09:00:00,2026-07-20T11:45:00,ECONOMY,O,165,156.5,360
BKK,SIN,SQ,THB,A350-900,2026-07-20T10:15:00,2026-07-20T12:45:00,ECONOMY,O,150,4220.0,313
SIN,BKK,SQ,SGD,B787-10,2026-07-21T07:05:00,2026-07-21T09:50:00,ECONOMY,O,165,150.5,280
BKK,SIN,SQ,THB,B787-10,2026-07-21T11:20:00,2026-07-21T13:50:00,ECONOMY,O,150,4130.0,465
SIN,BKK,SQ,SGD,A350-900,2026-07-22T08:10:00,2026-07-22T10:55:00,ECONOMY,O,165,150.5,471
BKK,SIN,SQ,THB,A350-900,2026-07-22T12:25:00,2026-07-22T14:55:00,ECONOMY,O,150,4130.0,224
SIN,BKK,SQ,SGD,B787-10,2026-07-23T09:15:00,2026-07-23T12:00:00,ECONOMY,O,165,156.5,261
BKK,SIN,SQ,THB,B787-10,2026-07-23T13:30:00,2026-07-23T16:00:00,ECONOMY,O,150,4220.0,199
SIN,BKK,SQ,SGD,A350-900,2026-07-24T07:50:00,2026-07-24T10:35:00,ECONOMY,O,165,168.5,305
BKK,SIN,SQ,THB,A350-900,2026-07-24T10:35:00,2026-07-24T13:05:00,ECONOMY,O,150,4400.0,222
SIN,BKK,SQ,SGD,B787-10,2026-07-25T08:55:00,2026-07-25T11:40:00,ECONOMY,O,165,168.5,217
BKK,SIN,SQ,THB,B787-10,2026-07-25T11:15:00,2026-07-25T13:45:00,ECONOMY,O,150,4400.0,246
SIN,BKK,SQ,SGD,A350-900,2026-07-26T09:00:00,2026-07-26T11:45:00,ECONOMY,O,165,168.5,347
BKK,SIN,SQ,THB,A350-900,2026-07-26T12:20:00,2026-07-26T14:50:00,ECONOMY,O,150,4400.0,376
SIN,BKK,SQ,SGD,B787-10,2026-07-27T07:05:00,2026-07-27T09:50:00,ECONOMY,O,165,156.5,62
BKK,SIN,SQ,THB,B787-10,2026-07-27T13:25:00,2026-07-27T15:55:00,ECONOMY,O,150,4220.0,289
SIN,BKK,SQ,SGD,A350-900,2026-07-28T08:10:00,2026-07-28T10:55:00,ECONOMY,O,165,150.5,419
BKK,SIN,SQ,THB,A350-900,2026-07-28T10:30:00,2026-07-28T13:00:00,ECONOMY,O,150,4130.0,226
SIN,BKK,SQ,SGD,B787-10,2026-07-29T09:15:00,2026-07-29T12:00:00,ECONOMY,O,165,150.5,261
BKK,SIN,SQ,THB,B787-10,2026-07-29T11:35:00,2026-07-29T14:05:00,ECONOMY,O,150,4130.0,197
SIN,BKK,SQ,SGD,A350-900,2026-07-30T07:50:00,2026-07-30T10:35:00,ECONOMY,O,165,156.5,389
BKK,SIN,SQ,THB,A350-900,2026-07-30T12:15:00,2026-07-30T14:45:00,ECONOMY,O,150,4220.0,50
SIN,BKK,SQ,SGD,B787-10,2026-07-31T08:55:00,2026-07-31T11:40:00,ECONOMY,O,165,168.5,166
BKK,SIN,SQ,THB,B787-10,2026-07-31T13:20:00,2026-07-31T15:50:00,ECONOMY,O,150,4400.0,24
SIN,BKK,SQ,SGD,B787-10,2026-08-01T08:55:00,2026-08-01T11:40:00,ECONOMY,O,165,168.5,310
BKK,SIN,SQ,THB,B787-10,2026-08-01T11:20:00,2026-08-01T13:50:00,ECONOMY,O,150,4220.0,74
SIN,BKK,SQ,SGD,A350-900,2026-08-02T09:00:00,2026-08-02T11:45:00,ECONOMY,O,165,168.5,354
BKK,SIN,SQ,THB,A350-900,2026-08-02T12:25:00,2026-08-02T14:55:00,ECONOMY,O,150,4220.0,336
SIN,BKK,SQ,SGD,B787-10,2026-08-03T07:05:00,2026-08-03T09:50:00,ECONOMY,O,165,156.5,18
BKK,SIN,SQ,THB,B787-10,2026-08-03T13:30:00,2026-08-03T16:00:00,ECONOMY,O,150,4040.0,353
SIN,BKK,SQ,SGD,A350-900,2026-08-04T08:10:00,2026-08-04T10:55:00,ECONOMY,O,165,150.5,138
BKK,SIN,SQ,THB,A350-900,2026-08-04T10:35:00,2026-08-04T13:05:00,ECONOMY,O,150,3950.0,145
SIN,BKK,SQ,SGD,B787-10,2026-08-05T09:15:00,2026-08-05T12:00:00,ECONOMY,O,165,150.5,481
BKK,SIN,SQ,THB,B787-10,2026-08-05T11:15:00,2026-08-05T13:45:00,ECONOMY,O,150,3950.0,72
SIN,BKK,SQ,SGD,A350-900,2026-08-06T07:50:00,2026-08-06T10:35:00,ECONOMY,O,165,156.5,148
BKK,SIN,SQ,THB,A350-900,2026-08-06T12:20:00,2026-08-06T14:50:00,ECONOMY,O,150,4040.0,90
SIN,BKK,SQ,SGD,B787-10,2026-08-07T08:55:00,2026-08-07T11:40:00,ECONOMY,O,165,168.5,401
BKK,SIN,SQ,THB,B787-10,2026-08-07T13:25:00,2026-08-07T15:55:00,ECONOMY,O,150,4220.0,172
SIN,BKK,SQ,SGD,A350-900,2026-08-08T09:00:00,2026-08-08T11:45:00,ECONOMY,O,165,168.5,428
BKK,SIN,SQ,THB,A350-900,2026-08-08T10:30:00,2026-08-08T13:00:00,ECONOMY,O,150,4220.0,298
SIN,BKK,SQ,SGD,B787-10,2026-08-09T07:05:00,2026-08-09T09:50:00,ECONOMY,O,165,168.5,388
BKK,SIN,SQ,THB,B787-10,2026-08-09T11:35:00,2026-08-09T14:05:00,ECONOMY,O,150,4220.0,270
SIN,BKK,SQ,SGD,A350-900,2026-08-10T08:10:00,2026-08-10T10:55:00,ECONOMY,O,165,156.5,499
BKK,SIN,SQ,THB,A350-900,2026-08-10T12:15:00,2026-08-10T14:45:00,ECONOMY,O,150,4040.0,240
SIN,BKK,SQ,SGD,B787-10,2026-08-11T09:15:00,2026-08-11T12:00:00,ECONOMY,O,165,150.5,50
BKK,SIN,SQ,THB,B787-10,2026-08-11T13:20:00,2026-08-11T15:50:00,ECONOMY,O,150,3950.0,37
SIN,BKK,SQ,SGD,A350-900,2026-08-12T07:50:00,2026-08-12T10:35:00,ECONOMY,O,165,150.5,144
BKK,SIN,SQ,THB,A350-900,2026-08-12T10:25:00,2026-08-12T12:55:00,ECONOMY,O,150,3950.0,210
SIN,BKK,SQ,SGD,B787-10,2026-08-13T08:55:00,2026-08-13T11:40:00,ECONOMY,O,165,156.5,337
BKK,SIN,SQ,THB,B787-10,2026-08-13T11:30:00,2026-08-13T14:00:00,ECONOMY,O,150,4040.0,277
SIN,BKK,SQ,SGD,A350-900,2026-08-14T09:00:00,2026-08-14T11:45:00,ECONOMY,O,165,168.5,427
BKK,SIN,SQ,THB,A350-900,2026-08-14T12:35:00,2026-08-14T15:05:00,ECONOMY,O,150,4220.0,42
SIN,BKK,SQ,SGD,B787-10,2026-08-15T07:05:00,2026-08-15T09:50:00,ECONOMY,O,165,168.5,57
BKK,SIN,SQ,THB,B787-10,2026-08-15T13:15:00,2026-08-15T15:45:00,ECONOMY,O,150,4220.0,416
SIN,BKK,SQ,SGD,A350-900,2026-08-16T08:10:00,2026-08-16T10:55:00,ECONOMY,O,165,168.5,71
BKK,SIN,SQ,THB,A350-900,2026-08-16T10:20:00,2026-08-16T12:50:00,ECONOMY,O,150,4220.0,225
SIN,BKK,SQ,SGD,B787-10,2026-08-17T09:15:00,2026-08-17T12:00:00,ECONOMY,O,165,156.5,302
BKK,SIN,SQ,THB,B787-10,2026-08-17T11:25:00,2026-08-17T13:55:00,ECONOMY,O,150,4040.0,108
SIN,BKK,SQ,SGD,A350-900,2026-08-18T07:50:00,2026-08-18T10:35:00,ECONOMY,O,165,150.5,181
BKK,SIN,SQ,THB,A350-900,2026-08-18T12:30:00,2026-08-18T15:00:00,ECONOMY,O,150,3950.0,369
SIN,BKK,SQ,SGD,B787-10,2026-08-19T08:55:00,2026-08-19T11:40:00,ECONOMY,O,165,150.5,223
BKK,SIN,SQ,THB,B787-10,2026-08-19T13:35:00,2026-08-19T16:05:00,ECONOMY,O,150,3950.0,484
SIN,BKK,SQ,SGD,A350-900,2026-08-20T09:00:00,2026-08-20T11:45:00,ECONOMY,O,165,156.5,44
BKK,SIN,SQ,THB,A350-900,2026-08-20T10:15:00,2026-08-20T12:45:00,ECONOMY,O,150,4040.0,458
SIN,BKK,SQ,SGD,B787-10,2026-08-21T07:05:00,2026-08-21T09:50:00,ECONOMY,O,165,168.5,236
BKK,SIN,SQ,THB,B787-10,2026-08-21T11:20:00,2026-08-21T13:50:00,ECONOMY,O,150,4220.0,110
SIN,BKK,SQ,SGD,A350-900,2026-08-22T08:10:00,2026-08-22T10:55:00,ECONOMY,O,165,168.5,440
BKK,SIN,SQ,THB,A350-900,2026-08-22T12:25:00,2026-08-22T14:55:00,ECONOMY,O,150,4220.0,471
SIN,BKK,SQ,SGD,B787-10,2026-08-23T09:15:00,2026-08-23T12:00:00,ECONOMY,O,165,168.5,140
BKK,SIN,SQ,THB,B787-10,2026-08-23T13:30:00,2026-08-23T16:00:00,ECONOMY,O,150,4220.0,266
SIN,BKK,SQ,SGD,A350-900,2026-08-24T07:50:00,2026-08-24T10:35:00,ECONOMY,O,165,156.5,14
BKK,SIN,SQ,THB,A350-900,2026-08-24T10:35:00,2026-08-24T13:05:00,ECONOMY,O,150,4040.0,227
SIN,BKK,SQ,SGD,B787-10,2026-08-25T08:55:00,2026-08-25T11:40:00,ECONOMY,O,165,150.5,264
BKK,SIN,SQ,THB,B787-10,2026-08-25T11:15:00,2026-08-25T13:45:00,ECONOMY,O,150,3950.0,407
SIN,BKK,SQ,SGD,A350-900,2026-08-26T09:00:00,2026-08-26T11:45:00,ECONOMY,O,165,150.5,368
BKK,SIN,SQ,THB,A350-900,2026-08-26T12:20:00,2026-08-26T14:50:00,ECONOMY,O,150,3950.0,292
SIN,BKK,SQ,SGD,B787-10,2026-08-27T07:05:00,2026-08-27T09:50:00,ECONOMY,O,165,156.5,402
BKK,SIN,SQ,THB,B787-10,2026-08-27T13:25:00,2026-08-27T15:55:00,ECONOMY,O,150,4040.0,216
SIN,BKK,SQ,SGD,A350-900,2026-08-28T08:10:00,2026-08-28T10:55:00,ECONOMY,O,165,168.5,24
BKK,SIN,SQ,THB,A350-900,2026-08-28T10:30:00,2026-08-28T13:00:00,ECONOMY,O,150,4220.0,355
SIN,BKK,SQ,SGD,B787-10,2026-08-29T09:15:00,2026-08-29T12:00:00,ECONOMY,O,165,168.5,51
BKK,SIN,SQ,THB,B787-10,2026-08-29T11:35:00,2026-08-29T14:05:00,ECONOMY,O,150,4220.0,389
SIN,HKG,SQ,SGD,A350-900,2026-05-30T08:50:00,2026-05-30T13:10:00,ECONOMY,O,260,186.5,470
HKG,SIN,SQ,HKD,A350-900,2026-05-30T14:15:00,2026-05-30T18:20:00,ECONOMY,O,245,1146.95,188
SIN,LHR,SQ,SGD,A380-800,2026-05-30T23:50:00,2026-05-31T14:45:00,ECONOMY,O,895,545.5,72
LHR,SIN,SQ,GBP,A380-800,2026-05-30T13:15:00,2026-05-31T02:55:00,ECONOMY,O,820,318.38,361
SIN,SUB,SQ,SGD,B787-10,2026-05-30T08:50:00,2026-05-30T11:20:00,ECONOMY,O,150,142.5,240
SUB,SIN,SQ,IDR,B787-10,2026-05-30T15:15:00,2026-05-30T17:40:00,ECONOMY,O,145,1911529.86,250
SIN,SGN,SQ,SGD,B787-10,2026-05-30T09:50:00,2026-05-30T12:05:00,ECONOMY,O,135,123.0,61
SGN,SIN,SQ,VND,B787-10,2026-05-30T16:15:00,2026-05-30T18:20:00,ECONOMY,O,125,2485613.06,105
SIN,HKG,SQ,SGD,A380-800,2026-05-31T09:55:00,2026-05-31T14:15:00,ECONOMY,O,260,186.5,397
HKG,SIN,SQ,HKD,A380-800,2026-05-31T15:20:00,2026-05-31T19:25:00,ECONOMY,O,245,1146.95,231
SIN,LHR,SQ,SGD,A350-900,2026-05-31T00:55:00,2026-05-31T15:50:00,ECONOMY,O,895,545.5,494
LHR,SIN,SQ,GBP,A350-900,2026-05-31T14:20:00,2026-06-01T04:00:00,ECONOMY,O,820,318.38,416
SIN,SUB,SQ,SGD,B787-10,2026-05-31T09:55:00,2026-05-31T12:25:00,ECONOMY,O,150,142.5,240
SUB,SIN,SQ,IDR,B787-10,2026-05-31T16:20:00,2026-05-31T18:45:00,ECONOMY,O,145,1911529.86,246
SIN,SGN,SQ,SGD,B787-10,2026-05-31T10:55:00,2026-05-31T13:10:00,ECONOMY,O,135,123.0,152
SGN,SIN,SQ,VND,B787-10,2026-05-31T17:20:00,2026-05-31T19:25:00,ECONOMY,O,125,2485613.06,180
SIN,HKG,SQ,SGD,A380-800,2026-06-01T09:55:00,2026-06-01T14:15:00,ECONOMY,O,260,149.5,38
HKG,SIN,SQ,HKD,A380-800,2026-06-01T13:20:00,2026-06-01T17:25:00,ECONOMY,O,245,919.41,45
SIN,LHR,SQ,SGD,A350-900,2026-06-01T00:55:00,2026-06-01T15:50:00,ECONOMY,O,895,550.5,22
LHR,SIN,SQ,GBP,A350-900,2026-06-01T12:20:00,2026-06-02T02:00:00,ECONOMY,O,820,321.3,169
SIN,SUB,SQ,SGD,B787-10,2026-06-01T09:55:00,2026-06-01T12:25:00,ECONOMY,O,150,132.5,336
SUB,SIN,SQ,IDR,B787-10,2026-06-01T14:20:00,2026-06-01T16:45:00,ECONOMY,O,145,1777387.41,196
SIN,SGN,SQ,SGD,B787-10,2026-06-01T10:55:00,2026-06-01T13:10:00,ECONOMY,O,135,115.0,252
SGN,SIN,SQ,VND,B787-10,2026-06-01T15:20:00,2026-06-01T17:25:00,ECONOMY,O,125,2323947.17,95
SIN,HKG,SQ,SGD,A350-900,2026-06-02T10:00:00,2026-06-02T14:20:00,ECONOMY,O,260,143.5,293
HKG,SIN,SQ,HKD,A350-900,2026-06-02T14:25:00,2026-06-02T18:30:00,ECONOMY,O,245,882.51,75
SIN,LHR,SQ,SGD,B777-300ER,2026-06-02T01:00:00,2026-06-02T15:55:00,ECONOMY,O,895,528.5,179
LHR,SIN,SQ,GBP,B777-300ER,2026-06-02T13:25:00,2026-06-03T03:05:00,ECONOMY,O,820,308.46,54
SIN,SUB,SQ,SGD,B787-10,2026-06-02T10:00:00,2026-06-02T12:30:00,ECONOMY,O,150,128.5,71
SUB,SIN,SQ,IDR,B787-10,2026-06-02T15:25:00,2026-06-02T17:50:00,ECONOMY,O,145,1723730.43,450
SIN,SGN,SQ,SGD,B787-10,2026-06-02T11:00:00,2026-06-02T13:15:00,ECONOMY,O,135,112.0,143
